#Data from 2015-10-29 at 13:46:17
Timestamp,PMT
130214802,3
130214912,4
130215022,4
130215132,5
130215242,7
130215352,13
130215462,4
130215572,12
130215682,1
130215792,6
130215902,1
130216012,5
130216122,2
130216232,11
130216342,10
130216452,3
130216563,4
130216672,9
130216782,2
130216892,8
130217002,5
130217112,2
130217222,5
130217332,6
130217442,3
130217552,4
130217662,8
130217772,3
130217882,1
130217992,8
130218102,3
130218212,5
130218322,1
130218432,1
130218542,1
130218652,1
130218762,4
130218872,5
130218982,1
130219092,2
130219202,11
130219312,20
130219422,5
130219532,7
130219642,1
130219752,5
130219862,1
130219972,11
130220082,5
130220192,7
130220302,6
130220412,7
130220522,3
130220632,5
130220742,3
130220852,21
130220962,3
130221072,3
130221182,27
130221292,1
130221402,3
130221512,4
130221622,25
130221732,3
130221842,19
130221952,1
130222062,2
130222172,6
130222282,9
130222392,7
130222502,3
130222612,6
130222722,30
130222832,1
130222942,12
130223052,1
130223162,4
130223272,3
130223382,2
130223492,4
130223602,9
130223712,6
130223822,4
130223932,3
130224042,11
130224152,6
130224262,3
130224372,4
130224482,3
130224592,3
130224702,2
130224812,6
130224922,9
130225032,2
130225142,5
130225252,2
130225362,2
130225472,24
130225582,16
130225692,3
130225802,1
130225912,4
130226022,7
130226132,5
130226242,7
130226352,13
130226462,6
130226572,5
130226682,4
130226792,6
130226902,5
130227012,11
130227122,2
130227232,5
130227342,7
130227452,10
130227562,2
130227672,7
130227782,1
130227892,2
130228002,2
130228112,3
130228222,2
130228332,9
130228442,24
130228552,29
130228662,31
130228772,5
130228882,2
130228992,1
130229102,8
130229212,7
130229322,6
130229432,6
130229542,15
130229652,3
130229762,3
130229872,1
130229982,5
130230092,5
130230202,12
130230312,2
130230422,4
130230532,2
130230642,13
130230752,5
130230862,6
130230972,6
130231082,20
130231192,3
130231302,2
130231412,1
130231522,9
130231632,3
130231742,33
130231852,10
130231962,12
130232072,10
130232182,35
130232292,6
130232402,3
130232512,4
130232622,2
130232732,5
130232842,17
130232952,5
130233062,10
130233172,13
130233282,1
130233392,3
130233502,4
130233612,4
130233722,7
130233832,6
130233942,13
130234052,3
130234162,4
130234272,5
130234382,10
130234492,6
130234602,6
130234712,4
130234822,2
130234932,3
130235042,7
130235152,3
130235262,3
130235372,1
130235482,24
130235592,6
130235702,2
130235812,7
130235922,3
130236032,5
130236142,10
130236252,1
130236362,7
130236472,3
130236582,2
130236692,20
130236802,4
130236912,6
130237022,4
130237132,4
130237242,9
130237352,24
130237462,1
130237572,1
130237682,7
130237792,3
130237902,13
130238012,1
130238122,7
130238232,1
130238342,1
130238452,5
130238563,6
130238672,2
130238782,2
130238892,1
130239002,2
130239112,6
130239222,2
130239332,3
130239442,2
130239552,5
130239662,6
130239772,6
130239882,5
130239992,7
130240102,3
130240212,24
130240322,1
130240432,5
130240542,3
130240652,1
130240762,6
130240872,5
130240982,2
130241092,10
130241202,6
130241312,11
130241422,5
130241532,19
130241642,2
130241752,10
130241862,4
130241972,4
130242082,25
130242192,3
130242302,3
130242412,39
130242522,25
130242632,1
130242742,14
130242852,4
130242962,2
130243072,24
130243182,6
130243292,9
130243402,5
130243512,11
130243622,3
130243732,4
130243842,22
130243952,5
130244062,3
130244172,2
130244282,6
130244392,22
130244502,4
130244612,14
130244722,1
130244832,5
130244942,1
130245052,30
130245162,5
130245272,6
130245382,4
130245492,1
130245602,3
130245712,9
130245822,4
130245932,6
130246042,7
130246152,4
130246262,4
130246372,5
130246482,7
130246592,2
130246702,4
130246812,1
130246922,4
130247032,3
130247142,5
130247252,2
130247362,2
130247472,2
130247582,7
130247692,2
130247802,4
130247912,6
130248022,1
130248132,2
130248242,2
130248352,12
130248462,2
130248572,3
130248682,6
130248792,6
130248902,6
130249012,2
130249122,4
130249232,8
130249342,8
130249452,9
130249562,5
130249672,1
130249782,5
130249892,1
130250002,4
130250112,7
130250222,23
130250332,2
130250442,5
130250552,13
130250662,1
130250772,10
130250882,3
130250992,5
130251102,9
130251212,6
130251322,7
130251432,6
130251542,1
130251652,6
130251762,2
130251872,2
130251982,5
130252092,3
130252202,7
130252312,6
130252422,16
130252532,4
130252642,6
130252752,2
130252862,3
130252972,1
130253082,2
130253192,2
130253302,3
130253412,4
130253522,2
130253632,6
130253742,1
130253852,22
130253962,7
130254072,2
130254182,7
130254292,3
130254402,12
130254512,3
130254622,3
130254732,5
130254842,10
130254952,10
130255062,4
130255172,6
130255282,2
130255392,4
130255502,5
130255612,3
130255722,3
130255832,1
130255942,7
130256052,20
130256162,13
130256272,8
130256382,3
130256492,2
130256602,20
130256712,2
130256822,11
130256932,18
130257042,1
130257152,4
130257262,5
130257372,1
130257482,4
130257592,4
130257702,3
130257812,2
130257922,4
130258032,1
130258142,7
130258252,6
130258362,4
130258472,4
130258582,4
130258692,3
130258802,3
130258912,4
130259022,17
130259132,5
130259242,4
130259352,3
130259462,3
130259572,2
130259682,8
130259792,2
130259902,2
130260012,6
130260122,15
130260232,3
130260342,1
130260452,11
130260563,5
130260672,6
130260782,15
130260892,7
130261002,12
130261112,3
130261222,6
130261332,3
130261442,4
130261552,3
130261662,16
130261772,2
130261882,10
130261992,1
130262102,12
130262212,5
130262322,4
130262432,4
130262542,4
130262652,7
130262762,8
130262872,4
130262982,4
130263092,15
130263202,7
130263312,5
130263422,16
130263532,4
130263642,6
130263752,2
130263862,3
130263972,9
130264082,3
130264192,13
130264302,2
130264412,4
130264522,15
130264632,1
130264742,3
130264852,14
130264962,2
130265072,6
130265182,6
130265292,7
130265402,4
130265512,4
130265622,9
130265732,4
130265842,5
130265952,9
130266062,3
130266172,5
130266282,6
130266392,5
130266502,4
130266612,7
130266722,4
130266832,6
130266942,3
130267052,3
130267162,4
130267272,25
130267382,15
130267492,3
130267602,2
130267712,17
130267822,2
130267932,4
130268042,20
130268152,18
130268262,2
130268372,4
130268482,5
130268592,3
130268702,4
130268812,3
130268922,11
130269032,3
130269142,21
130269252,7
130269362,39
130269472,3
130269582,15
130269692,5
130269802,8
130269912,9
130270022,25
130270132,1
130270242,5
130270352,13
130270462,2
130270572,6
130270682,7
130270792,18
130270902,2
130271012,25
130271122,2
130271232,3
130271342,17
130271452,3
130271562,5
130271672,7
130271782,8
130271892,4
130272002,4
130272112,7
130272222,7
130272332,9
130272442,5
130272552,3
130272662,1
130272772,4
130272882,3
130272992,5
130273102,4
130273212,3
130273322,2
130273432,3
130273542,9
130273652,1
130273762,14
130273872,4
130273982,8
130274092,2
130274202,21
130274312,17
130274422,7
130274532,2
130274642,2
130274752,2
130274862,6
130274972,5
130275082,6
130275192,3
130275302,5
130275412,17
130275522,1
130275632,36
130275742,4
130275852,4
130275962,2
130276072,1
130276182,4
130276292,2
130276402,1
130276512,7
130276622,2
130276732,4
130276842,4
130276952,4
130277062,4
130277172,2
130277282,8
130277392,6
130277502,3
130277612,3
130277722,13
130277832,6
130277942,10
130278052,3
130278162,1
130278272,4
130278382,5
130278492,7
130278602,8
130278712,15
130278822,4
130278932,3
130279042,4
130279152,9
130279262,4
130279372,11
130279482,5
130279592,3
130279702,9
130279812,1
130279922,22
130280032,3
130280142,6
130280252,2
130280362,2
130280472,2
130280582,4
130280692,13
130280802,5
130280912,8
130281022,6
130281132,4
130281242,3
130281352,26
130281462,12
130281572,1
130281682,9
130281792,12
130281902,8
130282012,6
130282122,1
130282232,6
130282342,9
130282452,1
130282563,8
130282672,24
130282782,4
130282892,5
