#Data from 2015-7-22 at 14:46:8
Timestamp,PMT,PeakDetector
1554995762.0,0.0,0.116
1555003162.0,0.0,0.112
1555010561.0,0.0,0.112
1555017961.0,0.0,0.119
1555025361.0,0.0,0.109
1555032761.0,0.0,0.112
1566924560.0,0.0,0.109
1566931962.0,0.0,0.112
1566939365.0,0.0,0.119
1566946762.0,0.0,0.119
1566954161.0,0.0,0.116
1566961561.0,0.0,0.112
1566968962.0,0.0,0.112
1566976362.0,0.0,0.112
1566983761.0,0.0,0.116
1566991164.0,0.0,0.116
1566998561.0,0.0,0.112
1567005962.0,0.0,0.116
1567013362.0,0.0,0.116
1567020764.0,0.0,0.116
1567028161.0,0.0,0.109
1567035562.0,0.0,0.116
1567042961.0,0.0,0.112
1567050362.0,0.0,0.112
1567057762.0,0.0,0.116
1567065161.0,0.0,0.112
1567072561.0,0.0,0.116
1567079962.0,0.0,0.112
1567087360.0,0.0,0.112
1567094761.0,0.0,0.112
1567102161.0,0.0,0.116
1567109561.0,0.0,0.116
1567116962.0,0.0,0.112
1567124361.0,0.0,0.116
1567131761.0,0.0,0.109
1567139161.0,0.0,0.112
1567146560.0,0.0,0.116
1567153962.0,0.0,0.116
1567161361.0,0.0,0.116
1567168762.0,0.0,0.116
1567176160.0,0.0,0.112
1567183562.0,0.0,0.109
1567190961.0,0.0,0.116
1567198362.0,0.0,0.112
1567205764.0,0.0,0.112
1567213164.0,0.0,0.116
1567220565.0,0.0,0.112
1567227964.0,0.0,0.112
1567235361.0,0.0,0.112
1567242762.0,0.0,0.119
1567250161.0,0.0,0.119
1567257562.0,0.0,0.112
1567264962.0,0.0,0.112
1567272360.0,0.0,0.116
1567279764.0,0.0,0.119
1567287161.0,0.0,0.112
1567294561.0,0.0,0.116
1567301962.0,0.0,0.112
1567309362.0,0.0,0.112
1567316764.0,0.0,0.116
1567324161.0,0.0,0.112
1567331561.0,0.0,0.112
1567338961.0,0.0,0.112
1567346361.0,0.0,0.116
1567353761.0,0.0,0.112
1567361161.0,0.0,0.116
1567368561.0,0.0,0.112
1567375961.0,0.0,0.109
1567383362.0,0.0,0.116
1567390761.0,0.0,0.116
1567398161.0,0.0,0.109
1567405561.0,0.0,0.116
1567412962.0,0.0,0.112
1567420360.0,0.0,0.112
1567427764.0,0.0,0.112
1567435162.0,0.0,0.112
1567442561.0,0.0,0.112
1567449961.0,0.0,0.116
1567457362.0,0.0,0.109
1567464765.0,0.0,0.112
1567472161.0,0.0,0.112
1567479561.0,0.0,0.112
1567486962.0,0.0,0.112
1567494361.0,0.0,0.112
1567501762.0,0.0,0.116
1567509162.0,0.0,0.112
1567516561.0,0.0,0.116
1567523961.0,0.0,0.119
1567531362.0,0.0,0.119
1567538764.0,0.0,0.112
1567546164.0,0.0,0.112
1567553561.0,0.0,0.116
1567560964.0,0.0,0.119
1567568361.0,0.0,0.112
1567575765.0,0.0,0.112
1567583161.0,0.0,0.112
1567590561.0,0.0,0.112
1567597961.0,0.0,0.116
1567605365.0,0.0,0.116
1567612761.0,0.0,0.112
1567620164.0,0.0,0.112
1567627562.0,0.0,0.109
1567634962.0,0.0,0.119
1567642361.0,0.0,0.112
1567649764.0,0.0,0.112
1567657161.0,0.0,0.112
1567664561.0,0.0,0.116
1567671961.0,0.0,0.116
1567679362.0,0.0,0.112
1567686761.0,0.0,0.112
1567694162.0,0.0,0.116
1567701562.0,0.0,0.112
1567708960.0,0.0,0.112
1567716364.0,0.0,0.112
1567723762.0,0.0,0.112
1567731161.0,0.0,0.112
1567738562.0,0.0,0.112
1567745961.0,0.0,0.112
1567753365.0,0.0,0.116
1567760761.0,0.0,0.112
1567768161.0,0.0,0.116
1567775561.0,0.0,0.116
1567782961.0,0.0,0.116
1567790362.0,0.0,0.109
1567797764.0,0.0,0.112
1567805162.0,0.0,0.116
1567812564.0,0.0,0.112
1567819962.0,0.0,0.119
1567827362.0,0.0,0.112
1567834764.0,0.0,0.109
1567842160.0,0.0,0.112
1567849562.0,0.0,0.116
1567856961.0,0.0,0.116
1567864364.0,0.0,0.112
1567871762.0,0.0,0.119
1567879164.0,0.0,0.112
1567886562.0,0.0,0.112
1567893961.0,0.0,0.116
1567901360.0,0.0,0.109
1567908761.0,0.0,0.109
1567916160.0,0.0,0.116
1567923564.0,0.0,0.116
1567930961.0,0.0,0.116
1567938361.0,0.0,0.112
1567945764.0,0.0,0.112
1567953164.0,0.0,0.116
1567960561.0,0.0,0.112
1567967962.0,0.0,0.112
1567975364.0,0.0,0.112
1567982764.0,0.0,0.112
1567990162.0,0.0,0.116
1567997561.0,0.0,0.116
1568004961.0,0.0,0.109
1568012364.0,0.0,0.119
1568019765.0,0.0,0.112
1568027164.0,0.0,0.112
1568034561.0,0.0,0.116
1568041962.0,0.0,0.112
1568049364.0,0.0,0.112
1568056761.0,0.0,0.116
1568064160.0,0.0,0.116
1568071561.0,0.0,0.112
1568078961.0,0.0,0.112
1568086364.0,0.0,0.119
1568093761.0,0.0,0.116
1568101164.0,0.0,0.112
1568108560.0,0.0,0.112
1568115961.0,0.0,0.112
1568123364.0,0.0,0.112
1568130765.0,0.0,0.116
1568138164.0,0.0,0.112
1568145564.0,0.0,0.112
1568152960.0,0.0,0.112
1568160365.0,0.0,0.109
1568167764.0,0.0,0.119
1568175164.0,0.0,0.112
1568182562.0,0.0,0.112
1568189961.0,0.0,0.116
1568197362.0,0.0,0.112
1568204761.0,0.0,0.109
1568212161.0,0.0,0.116
1568219561.0,0.0,0.116
1568226960.0,0.0,0.112
1568234362.0,0.0,0.116
1568241763.0,0.0,0.109
1568249161.0,0.0,0.112
1568256562.0,0.0,0.112
1568263961.0,0.0,0.112
1568271364.0,0.0,0.116
1568278761.0,0.0,0.112
1568286162.0,0.0,0.112
1568293562.0,0.0,0.116
1568300962.0,0.0,0.116
1568308362.0,0.0,0.116
1568315764.0,0.0,0.112
1568323160.0,0.0,0.112
1568330561.0,0.0,0.112
1568337961.0,0.0,0.112
1568345362.0,0.0,0.112
1568352761.0,0.0,0.116
1568360164.0,0.0,0.116
1568367561.0,0.0,0.112
1568374962.0,0.0,0.116
1568382362.0,0.0,0.112
1568389764.0,0.0,0.116
1568397161.0,0.0,0.119
1568404561.0,0.0,0.116
1568411961.0,0.0,0.112
1568419362.0,0.0,0.112
1568426761.0,0.0,0.116
1568434161.0,0.0,0.112
1568441562.0,0.0,0.112
1568448961.0,0.0,0.112
1568456361.0,0.0,0.106
1568463762.0,0.0,0.116
1568471161.0,0.0,0.116
1568478561.0,0.0,0.112
1568485962.0,0.0,0.119
1568493364.0,0.0,0.116
1568500765.0,0.0,0.112
1568508161.0,0.0,0.112
1568515561.0,0.0,0.112
1568522961.0,0.0,0.112
1568530362.0,0.0,0.116
1568537764.0,0.0,0.112
1568545161.0,0.0,0.119
1568552560.0,0.0,0.116
1568559962.0,0.0,0.112
1568567364.0,0.0,0.109
1568574764.0,0.0,0.112
1568582161.0,0.0,0.112
1568589564.0,0.0,0.112
1568596961.0,0.0,0.112
1568604361.0,0.0,0.109
1568611761.0,0.0,0.112
1568619161.0,0.0,0.116
1568626560.0,0.0,0.109
1568633960.0,0.0,0.112
1568641361.0,0.0,0.116
1568648764.0,0.0,0.119
1568656161.0,0.0,0.116
1568663562.0,0.0,0.109
1568670962.0,0.0,0.116
1568678364.0,0.0,0.112
1568685764.0,0.0,0.112
1568693161.0,0.0,0.116
1568700561.0,0.0,0.109
1568707961.0,0.0,0.112
1568715362.0,0.0,0.116
1568722764.0,0.0,0.116
1568730161.0,0.0,0.116
1568737560.0,0.0,0.116
1568744962.0,0.0,0.116
1568752361.0,0.0,0.112
1568759761.0,0.0,0.112
1568767164.0,0.0,0.116
1568774561.0,0.0,0.109
1568781961.0,0.0,0.119
1568789364.0,0.0,0.109
1568796761.0,0.0,0.109
1568804160.0,0.0,0.112
1568811560.0,0.0,0.116
1568818962.0,0.0,0.112
1568826362.0,0.0,0.112
1568833761.0,0.0,0.112
1568841161.0,0.0,0.116
1568848561.0,0.0,0.112
1568855961.0,0.0,0.109
1568863364.0,0.0,0.112
1568870765.0,0.0,0.109
1568878161.0,0.0,0.116
1568885562.0,0.0,0.109
1568892961.0,0.0,0.112
1568900364.0,0.0,0.116
1568907765.0,0.0,0.112
1568915162.0,0.0,0.116
1568922562.0,0.0,0.112
1568929961.0,0.0,0.112
1568937360.0,0.0,0.112
1568944764.0,0.0,0.112
1568952164.0,0.0,0.112
1568959564.0,0.0,0.116
1568966962.0,0.0,0.116
1568974361.0,0.0,0.109
1568981765.0,0.0,0.116
1568989163.0,0.0,0.112
1568996561.0,0.0,0.119
1569003962.0,0.0,0.116
1569011364.0,0.0,0.109
1569018764.0,0.0,0.116
1569026164.0,0.0,0.116
1569033561.0,0.0,0.112
1569040960.0,0.0,0.112
1569048361.0,0.0,0.116
1569055764.0,0.0,0.112
1569063161.0,0.0,0.119
1569070562.0,0.0,0.112
1569077962.0,0.0,0.112
1569085361.0,0.0,0.109
1569092764.0,0.0,0.122
1569100164.0,0.0,0.109
1569107561.0,0.0,0.112
1569114961.0,0.0,0.116
1569122364.0,0.0,0.116
1569129765.0,0.0,0.116
1569137162.0,0.0,0.112
1569144561.0,0.0,0.116
1569151961.0,0.0,0.109
1569159364.0,0.0,0.112
1569166762.0,0.0,0.116
1569174162.0,0.0,0.116
1569181562.0,0.0,0.112
1569188961.0,0.0,0.116
1569196361.0,0.0,0.116
1569203764.0,0.0,0.116
1569211164.0,0.0,0.116
1569218560.0,0.0,0.112
1569225964.0,0.0,0.116
1569233361.0,0.0,0.109
1569240764.0,0.0,0.112
1569248161.0,0.0,0.116
1569255560.0,0.0,0.116
1569262963.0,0.0,0.116
1569270364.0,0.0,0.119
1569277761.0,0.0,0.112
1569285164.0,0.0,0.116
1569292561.0,0.0,0.109
1569299964.0,0.0,0.116
1569307364.0,0.0,0.112
1569314761.0,0.0,0.112
1569322161.0,0.0,0.119
1569329560.0,0.0,0.122
1569336963.0,0.0,0.116
1569344364.0,0.0,0.112
1569351765.0,0.0,0.112
1569359164.0,0.0,0.112
1569366562.0,0.0,0.119
1569373963.0,0.0,0.112
1569381365.0,0.0,0.112
1569388761.0,0.0,0.116
1569396164.0,0.0,0.116
1569403561.0,0.0,0.122
1569410964.0,0.0,0.112
1569418364.0,0.0,0.116
1569425762.0,0.0,0.109
1569433160.0,0.0,0.116
1569440562.0,0.0,0.112
1569447967.0,0.0,0.116
1569455365.0,0.0,0.116
1569462765.0,0.0,0.109
1569470161.0,0.0,0.112
1569477561.0,0.0,0.112
1569484963.0,0.0,0.119
1569492364.0,0.0,0.112
1569499761.0,0.0,0.116
1569507161.0,0.0,0.112
1569514562.0,0.0,0.112
1569521962.0,0.0,0.109
1569529364.0,0.0,0.112
1569536762.0,0.0,0.109
1569544162.0,0.0,0.112
1569551562.0,0.0,0.112
1569558964.0,0.0,0.116
1569566365.0,0.0,0.119
1569573761.0,0.0,0.112
1569581162.0,0.0,0.116
1569588562.0,0.0,0.112
1569595962.0,0.0,0.116
1569603364.0,0.0,0.112
1569610761.0,0.0,0.116
1569618164.0,0.0,0.116
1569625561.0,0.0,0.116
1569632962.0,0.0,0.112
1569640364.0,0.0,0.109
1569647764.0,0.0,0.109
1569655161.0,0.0,0.116
1569662562.0,0.0,0.112
1569669963.0,0.0,0.112
1569677361.0,0.0,0.112
1569684761.0,0.0,0.116
1569692161.0,0.0,0.116
1569699560.0,0.0,0.112
1569706963.0,0.0,0.116
1569714361.0,0.0,0.116
1569721764.0,0.0,0.116
1569729164.0,0.0,0.116
1569736561.0,0.0,0.116
1569743962.0,0.0,0.109
1569751364.0,0.0,0.116
1569758764.0,0.0,0.112
1569766160.0,0.0,0.112
1569773560.0,0.0,0.116
1569780963.0,0.0,0.112
1569788361.0,0.0,0.109
1569795761.0,0.0,0.112
1569803161.0,0.0,0.112
1569810561.0,0.0,0.112
1569817964.0,0.0,0.112
1569825364.0,0.0,0.116
1569832764.0,0.0,0.116
1569840161.0,0.0,0.112
1569847561.0,0.0,0.112
1569854964.0,0.0,0.112
1569862364.0,0.0,0.112
1569869764.0,0.0,0.116
1569877164.0,0.0,0.116
1569884561.0,0.0,0.112
1569891963.0,0.0,0.112
1569899361.0,0.0,0.116
1569906761.0,0.0,0.119
1569914162.0,0.0,0.112
1569921562.0,0.0,0.112
1569928963.0,0.0,0.112
1569936364.0,0.0,0.112
1569943762.0,0.0,0.119
1569951164.0,0.0,0.112
1569958564.0,0.0,0.116
1569965963.0,0.0,0.112
1569973364.0,0.0,0.109
1569980761.0,0.0,0.112
1569988164.0,0.0,0.116
1569995561.0,0.0,0.116
1570002962.0,0.0,0.116
1570010364.0,0.0,0.112
1570017761.0,0.0,0.112
1570025161.0,0.0,0.112
1570032561.0,0.0,0.116
1570039963.0,0.0,0.116
1570047364.0,0.0,0.116
1570054762.0,0.0,0.116
1570062162.0,0.0,0.116
1570069560.0,0.0,0.116
1570076963.0,0.0,0.112
1570084364.0,0.0,0.116
1570091761.0,0.0,0.112
1570099165.0,0.0,0.116
1570106561.0,0.0,0.112
1570113963.0,0.0,0.112
1570121362.0,0.0,0.112
1570128761.0,0.0,0.116
1570136164.0,0.0,0.116
1570143561.0,0.0,0.116
1570150962.0,0.0,0.116
1570158364.0,0.0,0.116
1570165761.0,0.0,0.112
1570173162.0,0.0,0.116
1570180561.0,0.0,0.116
1570187963.0,0.0,0.116
1570195364.0,0.0,0.109
1570202764.0,0.0,0.112
1570210164.0,0.0,0.116
1570217561.0,0.0,0.112
1570224963.0,0.0,0.109
1570232365.0,0.0,0.112
1570239764.0,0.0,0.109
1570247164.0,0.0,0.112
1570254561.0,0.0,0.112
1570261963.0,0.0,0.112
1570269364.0,0.0,0.112
1570276764.0,0.0,0.112
1570284161.0,0.0,0.116
1570291560.0,0.0,0.112
1570298963.0,0.0,0.112
1570306364.0,0.0,0.116
1570313762.0,0.0,0.112
