#Data from 2015-10-29 at 13:50:24
Timestamp,PMT
377052272,4
377052382,5
377052492,4
377052602,5
377052712,13
377052822,6
377052932,5
377053042,5
377053152,8
377053262,7
377053372,9
377053482,4
377053592,6
377053702,3
377053812,1
377053922,1
377054032,3
377054142,5
377054252,4
377054362,30
377054472,1
377054582,11
377054692,4
377054802,2
377054912,2
377055022,22
377055132,17
377055242,9
377055352,4
377055462,10
377055572,3
377055682,2
377055792,3
377055902,9
377056012,1
377056122,25
377056232,5
377056342,4
377056452,7
377056562,3
377056672,3
377056782,5
377056892,5
377057002,4
377057112,6
377057222,2
377057332,2
377057442,5
377057552,2
377057662,13
377057772,4
377057882,16
377057992,3
377058102,4
377058212,12
377058322,10
377058432,6
377058542,15
377058652,4
377058762,3
377058872,4
377058982,4
377059092,12
377059202,22
377059312,3
377059422,5
377059532,5
377059642,6
377059752,11
377059862,4
377059972,9
377060082,12
377060192,5
377060302,3
377060412,7
377060522,1
377060632,3
377060742,5
377060852,3
377060962,1
377061072,3
377061182,7
377061292,10
377061402,5
377061512,3
377061622,4
377061732,4
377061842,4
377061952,5
377062062,8
377062172,2
377062282,5
377062392,5
377062502,8
377062612,15
377062722,1
377062832,8
377062942,6
377063052,10
377063162,5
377063272,4
377063382,4
377063492,4
377063602,2
377063712,3
377063822,4
377063932,13
377064042,11
377064152,9
377064262,4
377064372,4
377064482,5
377064592,2
377064702,12
377064812,1
377064922,2
377065032,4
377065142,5
377065252,3
377065362,7
377065472,1
377065582,1
377065692,8
377065802,4
377065912,7
377066022,1
377066132,5
377066242,25
377066352,3
377066462,19
377066572,9
377066682,4
377066792,7
377066902,1
377067012,4
377067122,6
377067232,5
377067342,6
377067452,1
377067562,2
377067672,3
377067782,12
377067892,8
377068002,4
377068112,2
377068222,3
377068332,4
377068442,14
377068552,27
377068662,4
377068772,5
377068882,6
377068992,4
377069102,8
377069212,8
377069322,6
377069432,1
377069542,7
377069652,7
377069762,4
377069872,4
377069982,5
377070092,5
377070202,10
377070312,6
377070422,13
377070532,8
377070642,3
377070752,12
377070862,4
377070972,4
377071082,2
377071192,6
377071302,4
377071412,4
377071522,1
377071632,5
377071742,15
377071852,9
377071962,3
377072072,6
377072182,5
377072292,6
377072402,8
377072512,8
377072622,4
377072732,6
377072842,2
377072952,3
377073062,7
377073172,4
377073282,4
377073392,8
377073502,3
377073612,10
377073722,5
377073832,2
377073942,16
377074052,2
377074162,8
377074272,2
377074382,1
377074492,9
377074602,1
377074712,4
377074822,9
377074932,12
377075042,14
377075152,5
377075262,5
377075372,2
377075482,6
377075592,4
377075702,14
377075812,2
377075922,5
377076032,4
377076142,8
377076252,10
377076362,5
377076472,4
377076582,4
377076692,11
377076802,3
377076912,9
377077022,2
377077132,1
377077242,1
377077352,10
377077462,6
377077572,4
377077682,6
377077792,3
377077902,4
377078012,5
377078122,13
377078232,17
377078342,2
377078452,5
377078562,2
377078672,4
377078782,12
377078892,7
377079002,14
377079112,3
377079222,5
377079332,3
377079442,7
377079552,3
377079662,3
377079772,1
377079882,2
377079992,3
377080102,17
377080212,2
377080322,15
377080432,1
377080542,4
377080652,6
377080762,3
377080872,4
377080982,6
377081092,10
377081202,4
377081312,5
377081422,6
377081532,7
377081642,1
377081752,4
377081862,4
377081972,17
377082082,4
377082192,2
377082302,6
377082412,6
377082522,5
377082632,2
377082742,2
377082852,5
377082962,2
377083072,4
377083182,8
377083292,4
377083402,6
377083512,2
377083622,4
377083732,5
377083842,4
377083952,10
377084062,3
377084172,3
377084282,8
377084392,6
377084502,1
377084612,3
377084722,3
377084832,4
377084942,6
377085052,5
377085162,14
377085272,2
377085382,5
377085492,10
377085602,8
377085712,8
377085822,8
377085932,6
377086042,5
377086152,8
377086262,2
377086372,14
377086482,2
377086592,27
377086702,1
377086812,3
377086922,4
377087032,5
377087142,8
377087252,3
377087362,6
377087472,20
377087582,4
377087692,4
377087802,7
377087912,4
377088022,6
377088132,10
377088242,2
377088352,6
377088462,3
377088572,2
377088682,29
377088792,2
377088902,5
377089012,4
377089122,4
377089232,8
377089342,5
377089452,4
377089562,1
377089672,5
377089782,6
377089892,3
377090002,14
377090112,1
377090222,5
377090332,6
377090442,7
377090552,11
377090662,5
377090772,6
377090882,9
