#Data from 2015-10-29 at 11:28:8
Timestamp,PMT
4824861,1
4824961,1
4825061,1
4825161,2
4825261,2
4825361,4
4825461,1
4825561,1
4825661,1
4825761,1
4825861,1
4825961,1
4826061,1
4826161,1
4826261,1
4826361,1
4826461,1
4826561,1
4826661,1
4826761,1
4826861,1
4826961,1
4827061,1
4827161,4
4827261,1
4827361,1
4827461,2
4827561,4
4827661,1
4827761,1
4827861,1
4827961,2
4828061,1
4828161,4
4828261,1
4828361,1
4828461,2
4828561,2
4828661,2
4828761,2
4828861,1
4828961,2
4829061,1
4829161,1
4829261,2
4829361,1
4829461,2
4829561,1
4829661,1
4829761,1
4829861,1
4829961,1
4830061,1
4830161,1
4830261,1
4830361,1
4830461,2
4830561,1
4830661,1
4830761,2
4830861,1
4830961,2
4831061,2
4831161,1
4831261,1
4831361,1
4831461,1
4831561,1
4831661,1
4831761,1
4831861,1
4831961,1
4832061,1
4832161,1
4832261,1
4832361,2
4832461,4
4832561,1
4832661,1
4832761,2
4832861,1
4832961,1
4833061,1
4833161,1
4833261,1
4833361,1
4833461,2
4833561,1
4833661,1
4833761,2
4833861,1
4833961,1
4834061,1
4834161,1
4834261,1
4834361,4
4834461,1
4834561,2
4834661,1
4834761,1
4834861,1
4834961,1
4835061,1
4835161,1
4835261,1
4835361,2
4835461,1
4835561,1
4835661,2
4835761,1
4835861,1
4835961,2
4836061,1
4836161,1
4836261,1
4836361,1
4836461,1
4836561,1
4836661,1
4836761,1
4836861,1
4836961,1
4837061,1
4837161,1
4837261,2
4837361,1
4837461,1
4837561,1
4837661,2
4837761,1
4837861,1
4837961,1
4838061,1
4838161,1
4838261,2
4838361,1
4838461,1
4838561,1
4838661,1
4838761,2
4838861,1
4838961,1
4839061,1
4839161,2
4839261,1
4839361,2
4839461,1
4839561,1
4839661,2
4839761,1
4839861,1
4839961,2
4840061,2
4840161,6
4840261,1
4840361,1
4840461,1
4840561,1
4840661,1
4840761,2
4840861,1
4840961,1
4841061,3
4841161,1
4841261,2
4841361,1
4841461,1
4841561,1
4841661,1
4841761,1
4841861,1
4841961,1
4842061,1
4842161,2
4842261,1
4842361,2
4842461,2
4842561,1
4842661,2
4842761,1
4842861,1
4842961,1
4843061,1
4843161,1
4843261,1
4843361,1
4843461,1
4843561,2
4843661,1
4843761,1
4843861,1
4843961,1
4844061,1
4844161,1
4844261,1
4844361,3
4844461,1
4844561,2
4844661,4
4844761,1
4844861,1
4844961,1
4845061,1
4845161,1
4845261,2
4845361,1
4845461,1
4845561,1
4845661,1
4845761,1
4845861,1
4845961,1
4846061,1
4846161,2
4846261,1
4846361,1
4846461,1
4846561,1
4846661,4
4846761,1
4846861,1
4846961,2
4847061,1
4847161,1
4847261,1
4847361,1
4847461,3
4847561,1
4847661,1
4847761,2
4847861,2
4847961,1
4848061,1
4848161,2
4848261,1
4848361,2
4848461,1
4848561,1
4848661,2
4848761,2
4848861,1
4848961,1
4849061,1
4849161,2
4849261,1
4849361,2
4849461,1
4849561,2
4849661,1
4849761,2
4849861,1
4849961,1
4850061,1
4850161,2
4850261,1
4850361,2
4850461,1
4850561,1
4850661,1
4850761,1
4850861,1
4850961,1
4851061,1
4851161,1
4851261,1
4851361,1
4851461,1
4851561,1
4851661,1
4851761,1
4851861,1
4851961,1
4852061,1
4852161,1
4852261,1
4852361,1
4852461,2
4852561,1
4852661,1
4852761,1
4852861,1
4852961,2
4853061,1
4853161,2
4853261,2
4853361,2
4853461,1
4853561,1
4853661,1
4853761,1
4853861,1
4853961,1
4854061,1
4854161,1
4854261,3
4854361,1
4854461,1
4854561,1
4854661,6
4854761,1
4854861,1
4854961,2
4855061,1
4855161,1
4855261,1
4855361,1
4855461,1
4855561,1
4855661,1
4855761,1
4855861,1
4855961,2
4856061,1
4856161,1
4856261,2
4856361,1
4856461,2
4856561,1
4856661,2
4856761,1
4856861,1
4856961,1
4857061,1
4857161,1
4857261,1
4857361,2
4857461,1
4857561,1
4857661,1
4857761,1
4857861,1
4857961,2
4858061,1
4858161,1
4858261,1
4858361,2
4858461,1
4858561,1
4858661,1
4858761,1
4858861,1
4858961,1
4859061,1
4859161,2
4859261,5
4859361,1
4859461,1
4859561,1
4859661,2
4859761,1
4859861,1
4859961,1
4860061,2
4860161,2
4860261,1
4860361,1
4860461,1
4860561,2
4860661,1
4860761,2
4860861,1
4860961,1
4861061,2
4861161,1
4861261,2
4861361,1
4861461,1
4861561,1
4861661,1
4861761,2
4861861,1
4861961,1
4862061,1
4862161,1
4862261,1
4862361,1
4862461,1
4862561,1
4862661,2
4862761,1
4862861,1
4862961,1
4863061,1
4863161,1
4863261,2
4863361,1
4863461,1
4863561,1
4863661,2
4863761,3
4863861,1
4863961,1
4864061,1
4864161,4
4864261,1
4864361,1
4864461,1
4864561,1
4864661,1
4864761,1
4864861,1
4864961,1
4865061,1
4865161,2
4865261,1
4865361,3
4865461,1
4865561,2
4865661,2
4865761,3
4865861,1
4865961,1
4866061,1
4866161,1
4866261,1
4866361,1
4866461,4
4866561,1
4866661,1
4866761,1
4866861,1
4866961,1
4867061,1
4867161,2
4867261,2
4867361,2
4867461,1
4867561,1
4867661,1
4867761,1
4867861,1
4867961,2
4868061,1
4868161,1
4868261,1
4868361,2
4868461,1
4868561,6
4868661,1
4868761,1
4868861,1
4868961,1
4869061,1
4869161,1
4869261,1
4869361,1
4869461,1
4869561,1
4869661,1
4869761,1
4869861,1
4869961,1
4870061,1
