#Data from 2015-10-29 at 13:44:31
Timestamp,PMT
25095942,8
25096052,6
25096162,3
25096272,7
25096382,3
25096492,3
25096602,5
25096712,4
25096822,2
25096932,3
25097042,1
25097152,4
25097262,1
25097372,2
25097482,3
25097592,1
25097702,2
25097812,2
25097922,3
25098032,7
25098142,11
25098252,2
25098362,2
25098472,5
25098582,4
25098692,7
25098802,1
25098912,3
25099022,1
25099132,6
25099242,2
25099352,1
25099462,6
25099572,3
25099682,9
25099792,2
25099902,3
25100012,3
25100122,12
25100232,20
25100342,6
25100452,2
25100562,5
25100672,7
25100782,3
25100892,3
25101002,2
25101112,5
25101222,4
25101332,1
25101442,4
25101552,2
25101662,4
25101772,1
25101882,4
25101992,3
25102102,4
25102212,4
25102322,2
25102432,4
25102542,4
25102652,4
25102762,14
25102872,3
25102982,11
25103092,7
25103202,3
25103312,1
25103422,6
25103532,12
25103642,3
25103752,5
25103862,6
25103972,15
25104082,2
25104192,9
25104302,7
25104412,1
25104522,6
25104632,2
25104742,3
25104852,1
25104962,1
25105072,2
25105182,2
25105292,1
25105402,3
25105512,7
25105622,1
25105732,2
25105842,4
25105952,2
25106062,4
25106172,13
25106282,1
25106392,2
25106502,2
25106612,1
25106722,4
25106832,1
25106942,2
25107052,3
25107162,4
25107272,5
25107382,20
25107492,1
25107602,2
25107712,3
25107822,9
25107932,3
25108042,2
25108152,1
25108262,5
25108372,1
25108482,9
25108592,3
25108702,3
25108812,6
25108922,3
25109032,1
25109142,1
25109252,4
25109362,3
25109472,5
25109582,1
25109692,1
25109802,2
25109912,11
25110022,5
25110132,34
25110242,5
25110352,1
25110462,3
25110572,36
25110682,1
25110792,5
25110902,2
25111012,24
25111122,3
25111232,1
25111342,24
25111452,11
25111562,21
25111672,3
25111782,3
25111892,18
25112002,7
25112112,14
25112222,5
25112332,4
25112442,2
25112552,11
25112662,5
25112772,5
25112882,7
25112992,3
25113102,4
25113212,4
25113322,4
25113432,4
25113542,2
