#Data from 2015-7-22 at 14:42:55
Timestamp,PMT,PeakDetector
91608764.0,0.0,0.093
91616162.0,0.0,0.093
91623561.0,0.0,0.096
91630962.0,0.0,0.09
91638362.0,0.0,0.093
91645761.0,0.0,0.099
91653161.0,0.0,0.09
91660562.0,0.0,0.096
91667962.0,0.0,0.093
1374998164.0,0.0,0.103
1375005562.0,0.0,0.099
1375012961.0,0.0,0.099
1375020364.0,0.0,0.103
1375027765.0,0.0,0.099
1375035163.0,0.0,0.099
1375042560.0,0.0,0.103
1375049962.0,0.0,0.103
1375057361.0,0.0,0.099
1375064764.0,0.0,0.099
1375072163.0,0.0,0.103
1375079561.0,0.0,0.103
1375086964.0,0.0,0.103
1375094361.0,0.0,0.099
1375101764.0,0.0,0.103
1375109160.0,0.0,0.103
1375116561.0,0.0,0.099
1375123961.0,0.0,0.103
1375131362.0,0.0,0.103
1375138762.0,0.0,0.099
1375146164.0,0.0,0.099
1375153561.0,0.0,0.099
1375160961.0,0.0,0.103
1375168364.0,0.0,0.103
1375175760.0,0.0,0.099
1375183162.0,0.0,0.099
1375190560.0,0.0,0.103
1375197962.0,0.0,0.099
1375205361.0,0.0,0.099
1375212764.0,0.0,0.099
1375220161.0,0.0,0.099
1375227561.0,0.0,0.103
1375234964.0,0.0,0.099
1375242362.0,0.0,0.099
1375249761.0,0.0,0.099
1375257164.0,0.0,0.099
1375264562.0,0.0,0.096
1375271961.0,0.0,0.099
1375279360.0,0.0,0.099
1375286764.0,0.0,0.096
1375294164.0,0.0,0.099
1375301561.0,0.0,0.096
1375308961.0,0.0,0.096
1375316362.0,0.0,0.096
1375323761.0,0.0,0.096
1375331165.0,0.0,0.099
1375338562.0,0.0,0.096
1375345962.0,0.0,0.096
1375353361.0,0.0,0.096
1375360764.0,0.0,0.099
1375368164.0,0.0,0.096
1375375561.0,0.0,0.096
1375382961.0,0.0,0.096
1375390364.0,0.0,0.096
1375397764.0,0.0,0.096
1375405164.0,0.0,0.096
1375412561.0,0.0,0.096
1375419961.0,0.0,0.096
1375427362.0,0.0,0.096
1375434761.0,0.0,0.099
1375442161.0,0.0,0.096
1375449560.0,0.0,0.093
1375456962.0,0.0,0.096
1375464364.0,0.0,0.096
1375471764.0,0.0,0.096
1375479161.0,0.0,0.096
1375486561.0,0.0,0.093
1375493961.0,0.0,0.096
1375501361.0,0.0,0.096
1375508762.0,0.0,0.093
1375516164.0,0.0,0.096
1375523561.0,0.0,0.096
1375530964.0,0.0,0.096
1375538361.0,0.0,0.096
1375545761.0,0.0,0.093
1375553164.0,0.0,0.096
1375560564.0,0.0,0.093
1375567962.0,0.0,0.093
1375575361.0,0.0,0.093
1375582764.0,0.0,0.096
1375590164.0,0.0,0.093
1375597562.0,0.0,0.093
1375604961.0,0.0,0.096
1375612361.0,0.0,0.093
1375619764.0,0.0,0.096
1375627161.0,0.0,0.093
1375634560.0,0.0,0.096
1375641961.0,0.0,0.093
1375649361.0,0.0,0.096
1375656764.0,0.0,0.096
1375664164.0,0.0,0.096
1375671561.0,0.0,0.096
1375678962.0,0.0,0.093
1375686360.0,0.0,0.096
1375693761.0,0.0,0.096
1375701164.0,0.0,0.096
1375708561.0,0.0,0.093
1375715960.0,0.0,0.096
1375723361.0,0.0,0.096
1375730761.0,0.0,0.096
1375738161.0,0.0,0.093
1375745560.0,0.0,0.096
1375752961.0,0.0,0.096
1375760361.0,0.0,0.096
1375767764.0,0.0,0.096
1375775164.0,0.0,0.096
1375782561.0,0.0,0.093
1375789962.0,0.0,0.096
1375797364.0,0.0,0.096
1375804762.0,0.0,0.096
1375812164.0,0.0,0.096
1375819561.0,0.0,0.093
1375826961.0,0.0,0.096
1375834364.0,0.0,0.093
1375841764.0,0.0,0.093
1375849161.0,0.0,0.096
1375856561.0,0.0,0.096
1375863961.0,0.0,0.096
1375871362.0,0.0,0.096
1375878761.0,0.0,0.093
1375886161.0,0.0,0.096
1375893561.0,0.0,0.096
1375900961.0,0.0,0.093
1375908362.0,0.0,0.093
1375915765.0,0.0,0.093
1375923163.0,0.0,0.096
1375930564.0,0.0,0.093
1375937962.0,0.0,0.096
1375945362.0,0.0,0.093
1375952764.0,0.0,0.096
1375960165.0,0.0,0.093
1375967565.0,0.0,0.096
1375974964.0,0.0,0.093
1375982362.0,0.0,0.096
1375989762.0,0.0,0.093
1375997161.0,0.0,0.096
1376004561.0,0.0,0.096
1376011961.0,0.0,0.093
1376019364.0,0.0,0.096
1376026761.0,0.0,0.093
1376034164.0,0.0,0.093
1376041561.0,0.0,0.093
1376048961.0,0.0,0.093
1376056364.0,0.0,0.096
1376063761.0,0.0,0.09
1376071161.0,0.0,0.096
1376078561.0,0.0,0.096
1376085962.0,0.0,0.096
1376093364.0,0.0,0.093
1376100761.0,0.0,0.093
1376108161.0,0.0,0.093
1376115562.0,0.0,0.093
1376122962.0,0.0,0.093
1376130365.0,0.0,0.093
1376137764.0,0.0,0.093
1376145162.0,0.0,0.093
1376152561.0,0.0,0.093
1376159961.0,0.0,0.093
1376167365.0,0.0,0.096
1376174762.0,0.0,0.093
1376182161.0,0.0,0.096
1376189561.0,0.0,0.096
1376196962.0,0.0,0.096
1376204364.0,0.0,0.096
1376211765.0,0.0,0.093
1376219162.0,0.0,0.096
1376226561.0,0.0,0.096
1376233961.0,0.0,0.093
1376241362.0,0.0,0.096
1376248761.0,0.0,0.096
1376256161.0,0.0,0.096
1376263560.0,0.0,0.096
1376270962.0,0.0,0.093
1376278361.0,0.0,0.096
1376285761.0,0.0,0.096
1376293161.0,0.0,0.093
1376300564.0,0.0,0.093
1376307961.0,0.0,0.096
1376315360.0,0.0,0.096
1376322761.0,0.0,0.093
1376330164.0,0.0,0.096
1376337560.0,0.0,0.093
1376344961.0,0.0,0.096
1376352362.0,0.0,0.096
1376359765.0,0.0,0.093
1376367164.0,0.0,0.093
1376374562.0,0.0,0.096
1376381961.0,0.0,0.099
1376389362.0,0.0,0.093
1376396762.0,0.0,0.096
1376404162.0,0.0,0.096
1376411561.0,0.0,0.093
1376418961.0,0.0,0.096
1376426362.0,0.0,0.096
1376433761.0,0.0,0.096
1376441162.0,0.0,0.096
1376448560.0,0.0,0.093
1376455961.0,0.0,0.093
1376463361.0,0.0,0.093
1376470764.0,0.0,0.096
1376478164.0,0.0,0.093
1376485562.0,0.0,0.096
1376492961.0,0.0,0.093
1376500361.0,0.0,0.099
1376507764.0,0.0,0.093
1376515161.0,0.0,0.096
