#Data from 2015-10-22 at 11:43:39
Timestamp,PMT
12428256,0.003
12428356,0.003
12428456,0.006
12428556,0.003
12428656,0.006
12428756,0.003
12428856,0.003
12428956,0.003
12429056,0.003
12429156,0.003
12429256,0.006
12429356,0.003
12429456,0.003
12429556,0.003
12429656,0.022
12429756,0.003
12429856,0.003
12429956,0.003
12430056,0.009
12430156,0.003
12430256,0.003
12430356,0.006
12430456,0.006
12430556,0.006
12430656,0.003
12430756,0.003
12430856,0.003
12430956,0.003
12431056,0.003
12431156,0.003
12431256,0.003
12431356,0.003
12431456,0.003
12431556,0.003
12431656,0.012
12431756,0.003
12431856,0.003
12431956,0.003
12432056,0.003
12432156,0.003
12432256,0.003
12432356,0.003
12432456,0.003
12432556,0.006
12432656,0.003
12432756,0.006
12432856,0.003
12432956,0.003
12433056,0.003
12433156,0.003
12433256,0.003
12433356,0.003
12433456,0.006
12433556,0.003
12433656,0.006
12433756,0.003
12433856,0.003
12433956,0.003
12434056,0.003
12434156,0.003
12434256,0.003
12434356,0.003
12434456,0.006
12434556,0.003
12434656,0.003
12434756,0.006
12434856,0.003
12434956,0.003
12435056,0.003
12435156,0.003
12435256,0.006
12435356,0.006
12435456,0.003
12435556,0.006
12435656,0.006
12435756,0.025
12435856,0.003
12435956,0.006
12436056,0.009
12436156,0.006
12436256,0.003
12436356,0.003
12436456,0.003
12436556,0.003
12436656,0.003
12436756,0.003
12436856,0.003
12436956,0.006
12437056,0.003
12437156,0.003
12437256,0.012
12437356,0.003
12437456,0.003
12437556,0.009
12437656,0.006
12437756,0.016
12437856,0.003
12437956,0.006
12438056,0.006
12438156,0.003
12438256,0.003
12438356,0.003
12438456,0.003
12438556,0.003
12438656,0.006
12438756,0.003
12438856,0.003
12438956,0.003
12439056,0.003
12439156,0.006
12439256,0.006
12439356,0.003
12439456,0.003
12439556,0.003
12439656,0.003
12439756,0.003
12439856,0.003
12439956,0.003
12440056,0.003
12440156,0.003
12440256,0.003
12440356,0.003
12440456,0.006
12440556,0.003
12440656,0.003
12440756,0.003
12440856,0.003
12440956,0.003
12441056,0.003
12441156,0.006
12441256,0.003
12441356,0.003
12441456,0.009
12441556,0.006
12441656,0.003
12441756,0.003
12441856,0.003
12441956,0.006
12442056,0.006
12442156,0.003
12442256,0.029
12442356,0.006
12442456,0.003
12442556,0.003
12442656,0.003
12442756,0.003
12442856,0.003
12442956,0.003
12443056,0.003
12443156,0.003
12443256,0.003
12443356,0.025
12443456,0.003
12443556,0.006
12443656,0.003
12443756,0.006
12443856,0.003
12443956,0.009
12444056,0.006
12444156,0.003
12444256,0.003
12444356,0.006
12444456,0.006
12444556,0.006
12444656,0.003
12444756,0.003
12444856,0.003
12444956,0.003
12445056,0.003
12445156,0.003
12445256,0.009
12445356,0.003
12445456,0.003
12445556,0.003
12445656,0.003
12445756,0.003
12445856,0.003
12445956,0.006
12446056,0.003
12446156,0.009
12446256,0.003
12446356,0.003
12446456,0.006
12446556,0.003
12446656,0.003
12446756,0.003
12446856,0.003
12446956,0.003
12447056,0.003
12447156,0.003
12447256,0.006
12447356,0.003
12447456,0.006
12447556,0.006
12447656,0.006
12447756,0.003
12447856,0.003
12447956,0.006
12448056,0.003
12448156,0.006
12448256,0.003
12448356,0.003
12448456,0.006
12448556,0.009
12448656,0.006
12448756,0.003
12448856,0.003
12448956,0.006
12449056,0.003
12449156,0.003
12449256,0.003
12449356,0.003
12449456,0.006
12449556,0.003
12449656,0.003
12449756,0.003
12449856,0.003
12449956,0.003
12450056,0.003
12450156,0.006
12450256,0.003
12450356,0.003
12450456,0.009
12450556,0.003
12450656,0.003
12450756,0.003
12450856,0.003
12450956,0.006
12451056,0.006
12451156,0.003
12451256,0.003
12451356,0.025
12451456,0.003
12451556,0.009
12451656,0.006
12451756,0.003
12451856,0.003
12451956,0.006
12452056,0.009
12452156,0.003
12452256,0.003
12452356,0.003
12452456,0.006
12452556,0.003
12452656,0.003
12452756,0.006
12452856,0.003
12452956,0.006
12453056,0.003
12453156,0.006
12453256,0.003
12453356,0.003
12453456,0.003
12453556,0.003
12453656,0.006
12453756,0.006
12453856,0.003
12453956,0.003
12454056,0.003
12454156,0.003
12454256,0.006
12454356,0.003
12454456,0.003
12454556,0.012
12454656,0.003
12454756,0.003
12454856,0.003
12454956,0.003
12455056,0.006
12455156,0.003
12455256,0.006
12455356,0.003
12455456,0.003
12455556,0.025
12455656,0.003
12455756,0.003
12455856,0.003
12455956,0.003
12456056,0.003
12456156,0.009
12456256,0.003
12456356,0.006
12456456,0.003
12456556,0.006
12456656,0.006
12456756,0.006
12456856,0.003
12456956,0.003
12457056,0.003
12457156,0.003
12457256,0.003
12457356,0.009
12457456,0.006
12457556,0.003
12457656,0.006
12457756,0.003
12457856,0.003
12457956,0.006
12458056,0.006
12458156,0.003
12458256,0.003
12458356,0.006
12458456,0.003
12458556,0.003
12458656,0.009
12458756,0.003
12458856,0.003
12458956,0.003
12459056,0.006
12459156,0.006
12459256,0.003
12459356,0.003
12459456,0.009
12459556,0.003
12459656,0.003
12459756,0.003
12459856,0.003
12459956,0.016
12460056,0.006
12460156,0.003
12460256,0.003
12460356,0.003
12460456,0.006
12460556,0.003
12460656,0.003
12460756,0.003
12460856,0.003
12460956,0.003
12461056,0.009
12461156,0.003
12461256,0.009
12461356,0.006
12461456,0.003
12461556,0.003
12461656,0.006
12461756,0.003
12461856,0.003
12461956,0.003
12462056,0.003
12462156,0.003
12462256,0.003
12462356,0.003
12462456,0.003
12462556,0.006
12462656,0.003
12462756,0.006
12462856,0.003
12462956,0.006
12463056,0.003
12463156,0.006
12463256,0.003
12463356,0.025
12463456,0.006
12463556,0.003
12463656,0.009
12463756,0.003
12463856,0.003
12463956,0.003
12464056,0.006
12464156,0.003
12464256,0.003
12464356,0.006
12464456,0.009
12464556,0.003
12464656,0.003
12464756,0.003
12464856,0.003
12464956,0.003
12465056,0.003
12465156,0.003
12465256,0.003
12465356,0.003
12465456,0.003
12465556,0.003
12465656,0.006
12465756,0.003
12465856,0.003
12465956,0.006
12466056,0.006
12466156,0.003
12466256,0.003
12466356,0.006
12466456,0.003
12466556,0.006
12466656,0.003
12466756,0.003
12466856,0.003
12466956,0.003
12467056,0.003
12467156,0.012
12467256,0.003
12467356,0.003
12467456,0.009
12467556,0.003
12467656,0.006
12467756,0.003
12467856,0.003
12467956,0.006
12468056,0.003
12468156,0.006
12468256,0.029
12468356,0.003
12468456,0.003
12468556,0.003
12468656,0.003
12468756,0.003
12468856,0.003
12468956,0.003
12469056,0.003
12469156,0.006
12469256,0.003
12469356,0.006
12469456,0.003
12469556,0.009
12469656,0.003
12469756,0.003
12469856,0.003
12469956,0.003
12470056,0.003
12470156,0.006
12470256,0.003
12470356,0.006
12470456,0.003
12470556,0.006
12470656,0.003
12470756,0.003
12470856,0.003
12470956,0.006
12471056,0.006
12471156,0.003
12471256,0.003
12471356,0.006
12471456,0.006
12471556,0.003
12471656,0.012
12471756,0.003
12471856,0.003
12471956,0.003
12472056,0.003
12472156,0.003
12472256,0.003
12472356,0.003
12472456,0.003
12472556,0.006
12472656,0.003
12472756,0.012
12472856,0.003
12472956,0.003
12473056,0.006
12473156,0.003
12473256,0.006
12473356,0.003
12473456,0.003
12473556,0.006
12473656,0.003
12473756,0.006
12473856,0.003
12473956,0.006
12474056,0.003
12474156,0.006
12474256,0.003
12474356,0.003
12474456,0.003
12474556,0.006
12474656,0.003
12474756,0.003
12474856,0.003
12474956,0.003
12475056,0.003
12475156,0.006
12475256,0.003
12475356,0.003
12475456,0.003
12475556,0.003
12475656,0.006
12475756,0.003
12475856,0.003
12475956,0.003
12476056,0.006
12476156,0.003
12476256,0.003
12476356,0.003
12476456,0.003
12476556,0.003
12476656,0.003
12476756,0.003
12476856,0.003
12476956,0.003
12477056,0.003
12477156,0.016
12477256,0.003
12477356,0.006
12477456,0.003
12477556,0.006
12477656,0.006
12477756,0.006
12477856,0.003
12477956,0.003
12478056,0.003
12478156,0.003
12478256,0.003
12478356,0.006
12478456,0.003
12478556,0.003
12478656,0.003
12478756,0.003
12478856,0.003
12478956,0.006
12479056,0.003
12479156,0.003
12479256,0.003
12479356,0.003
12479456,0.006
12479556,0.006
12479656,0.003
12479756,0.003
12479856,0.003
12479956,0.003
12480056,0.003
12480156,0.003
12480256,0.006
12480356,0.003
12480456,0.003
12480556,0.003
12480656,0.003
12480756,0.003
12480856,0.003
12480956,0.003
12481056,0.003
12481156,0.003
12481256,0.003
12481356,0.006
12481456,0.003
12481556,0.003
12481656,0.003
12481756,0.003
12481856,0.003
12481956,0.006
12482056,0.006
12482156,0.003
12482256,0.016
12482356,0.003
12482456,0.003
12482556,0.003
12482656,0.009
12482756,0.003
12482856,0.003
12482956,0.003
12483056,0.003
12483156,0.003
12483256,0.003
12483356,0.003
12483456,0.003
12483556,0.003
12483656,0.003
12483756,0.006
12483856,0.003
12483956,0.009
12484056,0.006
12484156,0.003
12484256,0.003
12484356,0.012
12484456,0.003
12484556,0.003
12484656,0.003
12484756,0.003
12484856,0.003
12484956,0.003
12485056,0.006
12485156,0.006
12485256,0.006
12485356,0.003
12485456,0.006
12485556,0.006
12485656,0.003
12485756,0.003
12485856,0.003
12485956,0.006
12486056,0.003
12486156,0.006
12486256,0.003
12486356,0.003
12486456,0.003
12486556,0.003
12486656,0.006
12486756,0.003
12486856,0.003
12486956,0.009
12487056,0.029
12487156,0.003
12487256,0.003
12487356,0.006
12487456,0.016
12487556,0.003
12487656,0.003
12487756,0.006
12487856,0.003
12487956,0.003
12488056,0.006
12488156,0.003
12488256,0.003
12488356,0.006
12488456,0.003
12488556,0.029
12488656,0.003
12488756,0.003
12488856,0.003
12488956,0.003
12489056,0.003
12489156,0.006
12489256,0.003
12489356,0.003
12489456,0.003
12489556,0.003
12489656,0.006
12489756,0.003
12489856,0.003
12489956,0.003
12490056,0.003
12490156,0.003
12490256,0.003
12490356,0.006
12490456,0.009
12490556,0.003
12490656,0.003
12490756,0.003
12490856,0.003
12490956,0.003
12491056,0.003
12491156,0.009
12491256,0.009
12491356,0.003
12491456,0.006
12491556,0.003
12491656,0.006
12491756,0.003
12491856,0.003
12491956,0.003
12492056,0.003
12492156,0.006
12492256,0.003
12492356,0.003
12492456,0.003
12492556,0.006
12492656,0.006
12492756,0.003
12492856,0.003
12492956,0.003
12493056,0.003
12493156,0.003
12493256,0.003
12493356,0.025
12493456,0.003
12493556,0.003
12493656,0.003
12493756,0.003
12493856,0.003
12493956,0.003
12494056,0.006
12494156,0.006
12494256,0.006
12494356,0.003
12494456,0.006
12494556,0.006
12494656,0.003
12494756,0.003
12494856,0.003
12494956,0.003
12495056,0.003
12495156,0.006
12495256,0.006
12495356,0.003
12495456,0.003
12495556,0.009
12495656,0.003
12495756,0.003
12495856,0.003
12495956,0.009
12496056,0.006
12496156,0.003
12496256,0.003
12496356,0.003
12496456,0.006
12496556,0.003
12496656,0.003
12496756,0.003
12496856,0.003
12496956,0.006
12497056,0.003
12497156,0.003
12497256,0.006
12497356,0.006
12497456,0.006
12497556,0.003
12497656,0.003
12497756,0.003
12497856,0.003
12497956,0.003
12498056,0.003
12498156,0.006
12498256,0.003
12498356,0.003
12498456,0.003
12498556,0.006
12498656,0.009
12498756,0.006
12498856,0.003
12498956,0.003
12499056,0.003
12499156,0.003
12499256,0.003
12499356,0.003
12499456,0.006
12499556,0.003
12499656,0.003
12499756,0.009
12499856,0.003
12499956,0.006
12500056,0.003
12500156,0.003
12500256,0.003
12500356,0.003
12500456,0.016
12500556,0.003
12500656,0.003
12500756,0.003
12500856,0.003
12500956,0.006
12501056,0.003
12501156,0.003
12501256,0.006
12501356,0.003
12501456,0.006
12501556,0.003
12501656,0.003
12501756,0.006
12501856,0.003
12501956,0.003
12502056,0.003
12502156,0.003
12502256,0.006
12502356,0.003
12502456,0.003
12502556,0.006
12502656,0.003
12502756,0.003
12502856,0.003
12502956,0.003
12503056,0.003
12503156,0.003
12503256,0.003
12503356,0.003
12503456,0.006
12503556,0.003
12503656,0.003
12503756,0.009
12503856,0.003
12503956,0.003
12504056,0.006
12504156,0.006
12504256,0.003
12504356,0.006
12504456,0.003
12504556,0.006
12504656,0.009
12504756,0.003
12504856,0.003
12504956,0.006
12505056,0.003
12505156,0.003
12505256,0.006
12505356,0.003
12505456,0.006
12505556,0.003
12505656,0.003
12505756,0.003
12505856,0.003
12505956,0.006
12506056,0.003
12506156,0.003
12506256,0.006
12506356,0.003
12506456,0.006
12506556,0.006
12506656,0.006
12506756,0.012
12506856,0.003
12506956,0.003
12507056,0.012
12507156,0.003
12507256,0.003
12507356,0.003
12507456,0.003
12507556,0.003
12507656,0.003
12507756,0.003
12507856,0.003
12507956,0.006
12508056,0.006
12508156,0.003
12508256,0.003
12508356,0.003
12508456,0.003
12508556,0.003
12508656,0.003
12508756,0.003
12508856,0.003
12508956,0.006
12509056,0.003
12509156,0.003
12509256,0.003
12509356,0.003
12509456,0.003
12509556,0.006
12509656,0.006
12509756,0.003
12509856,0.003
12509956,0.003
12510056,0.003
12510156,0.003
12510256,0.003
12510356,0.006
12510456,0.003
12510556,0.003
12510656,0.003
12510756,0.003
12510856,0.003
12510956,0.006
12511056,0.003
12511156,0.022
12511256,0.009
12511356,0.006
12511456,0.003
12511556,0.003
12511656,0.006
12511756,0.003
12511856,0.003
12511956,0.006
12512056,0.003
12512156,0.003
12512256,0.016
12512356,0.003
12512456,0.003
12512556,0.003
12512656,0.003
12512756,0.003
12512856,0.003
12512956,0.003
12513056,0.003
12513156,0.006
12513256,0.003
12513356,0.009
12513456,0.006
12513556,0.006
12513656,0.003
12513756,0.003
12513856,0.003
