#Data from 2015-7-22 at 14:55:20
Timestamp,PMT,PeakDetector
2106391961.0,0.0,0.099
2106399361.0,0.0,0.096
2106406761.0,0.0,0.099
2106414160.0,0.0,0.099
2106421560.0,0.0,0.099
2106428961.0,0.0,0.099
2119867364.0,0.0,0.099
2119874760.0,0.0,0.103
2119882164.0,0.0,0.103
2119889561.0,0.0,0.103
2119896960.0,0.0,0.103
2119904361.0,0.0,0.103
2119911761.0,0.0,0.103
2119919162.0,0.0,0.103
2119926561.0,0.0,0.103
2119933962.0,0.0,0.106
2119941362.0,0.0,0.103
2119948760.0,0.0,0.103
2119956160.0,0.0,0.103
2119963561.0,0.0,0.106
2119970961.0,0.0,0.099
2119978360.0,0.0,0.103
2119985761.0,0.0,0.099
2119993160.0,0.0,0.099
2120000563.0,0.0,0.103
2120007961.0,0.0,0.103
2120015360.0,0.0,0.103
2120022760.0,0.0,0.103
2120030161.0,0.0,0.103
2120037561.0,0.0,0.106
2120044963.0,0.0,0.103
2120052361.0,0.0,0.103
2120059762.0,0.0,0.103
2120067161.0,0.0,0.106
2120074564.0,0.0,0.103
2120081964.0,0.0,0.106
2120089359.0,0.0,0.103
2120096761.0,0.0,0.103
2120104161.0,0.0,0.103
2120111561.0,0.0,0.103
2120118963.0,0.0,0.103
2120126362.0,0.0,0.103
2120133761.0,0.0,0.103
2120141161.0,0.0,0.106
2120148564.0,0.0,0.103
2120155961.0,0.0,0.103
2120163360.0,0.0,0.103
2120170761.0,0.0,0.103
2120178161.0,0.0,0.103
2120185561.0,0.0,0.106
2120192962.0,0.0,0.106
2120200361.0,0.0,0.103
2120207761.0,0.0,0.103
2120215161.0,0.0,0.103
2120222564.0,0.0,0.103
2120229961.0,0.0,0.103
2120237361.0,0.0,0.103
2120244762.0,0.0,0.099
2120252161.0,0.0,0.103
2120259564.0,0.0,0.106
2120266961.0,0.0,0.106
2120274360.0,0.0,0.103
2120281761.0,0.0,0.103
2120289162.0,0.0,0.103
2120296563.0,0.0,0.099
2120303963.0,0.0,0.103
2120311362.0,0.0,0.103
2120318762.0,0.0,0.103
2120326160.0,0.0,0.103
2120333564.0,0.0,0.099
2120340963.0,0.0,0.103
2120348361.0,0.0,0.103
2120355761.0,0.0,0.103
2120363161.0,0.0,0.103
2120370564.0,0.0,0.103
2120377961.0,0.0,0.103
2120385360.0,0.0,0.106
2120392760.0,0.0,0.103
2120400161.0,0.0,0.103
2120407564.0,0.0,0.103
2120414963.0,0.0,0.103
2120422362.0,0.0,0.103
2120429763.0,0.0,0.103
2120437160.0,0.0,0.106
2120444561.0,0.0,0.103
2120451962.0,0.0,0.103
2120459361.0,0.0,0.103
2120466760.0,0.0,0.103
2120474161.0,0.0,0.103
2120481564.0,0.0,0.103
2120488963.0,0.0,0.103
2120496360.0,0.0,0.103
2120503763.0,0.0,0.103
2120511161.0,0.0,0.103
2120518561.0,0.0,0.103
2120525961.0,0.0,0.103
2120533360.0,0.0,0.103
2120540763.0,0.0,0.106
2120548161.0,0.0,0.103
2120555561.0,0.0,0.103
2120562963.0,0.0,0.103
2120570360.0,0.0,0.103
2120577763.0,0.0,0.103
2120585161.0,0.0,0.106
2120592561.0,0.0,0.103
2120599961.0,0.0,0.103
2120607360.0,0.0,0.103
2120614763.0,0.0,0.106
2120622161.0,0.0,0.106
2120629561.0,0.0,0.103
2120636960.0,0.0,0.106
2120644361.0,0.0,0.103
2120651763.0,0.0,0.106
2120659161.0,0.0,0.106
2120666561.0,0.0,0.103
2120673963.0,0.0,0.106
2120681360.0,0.0,0.103
2120688763.0,0.0,0.106
2120696161.0,0.0,0.103
2120703561.0,0.0,0.103
2120710961.0,0.0,0.103
2120718361.0,0.0,0.099
2120725762.0,0.0,0.106
2120733160.0,0.0,0.103
2120740560.0,0.0,0.103
2120747960.0,0.0,0.103
2120755361.0,0.0,0.103
2120762761.0,0.0,0.106
2120770161.0,0.0,0.103
2120777564.0,0.0,0.106
2120784964.0,0.0,0.103
2120792360.0,0.0,0.106
2120799762.0,0.0,0.099
2120807161.0,0.0,0.103
2120814564.0,0.0,0.103
2120821962.0,0.0,0.106
2120829360.0,0.0,0.103
2120836763.0,0.0,0.103
2120844163.0,0.0,0.103
2120851564.0,0.0,0.106
2120858961.0,0.0,0.103
2120866360.0,0.0,0.103
2120873763.0,0.0,0.103
2120881161.0,0.0,0.103
2120888564.0,0.0,0.103
2120895964.0,0.0,0.103
2120903362.0,0.0,0.103
2120910763.0,0.0,0.103
2120918161.0,0.0,0.103
2120925564.0,0.0,0.103
2120932963.0,0.0,0.103
2120940360.0,0.0,0.103
2120947762.0,0.0,0.106
2120955164.0,0.0,0.103
2120962561.0,0.0,0.103
2120969963.0,0.0,0.103
2120977361.0,0.0,0.099
2120984762.0,0.0,0.103
2120992161.0,0.0,0.103
2120999563.0,0.0,0.103
2121006961.0,0.0,0.103
2121014361.0,0.0,0.103
2121021762.0,0.0,0.106
2121029163.0,0.0,0.106
2121036562.0,0.0,0.106
2121043963.0,0.0,0.103
2121051362.0,0.0,0.103
2121058763.0,0.0,0.106
2121066161.0,0.0,0.103
2121073560.0,0.0,0.103
2121080961.0,0.0,0.103
2121088362.0,0.0,0.103
2121095763.0,0.0,0.106
2121103161.0,0.0,0.103
2121110563.0,0.0,0.103
2121117963.0,0.0,0.106
2121125360.0,0.0,0.103
2121132763.0,0.0,0.103
2121140161.0,0.0,0.099
2121147564.0,0.0,0.099
2121154963.0,0.0,0.106
2121162361.0,0.0,0.106
2121169763.0,0.0,0.106
2121177161.0,0.0,0.103
2121184564.0,0.0,0.103
2121191963.0,0.0,0.103
2121199362.0,0.0,0.106
2121206762.0,0.0,0.103
2121214161.0,0.0,0.103
2121221562.0,0.0,0.106
2121228961.0,0.0,0.103
2121236361.0,0.0,0.103
2121243763.0,0.0,0.106
2121251160.0,0.0,0.103
2121258565.0,0.0,0.103
2121265961.0,0.0,0.103
2121273362.0,0.0,0.103
2121280766.0,0.0,0.103
2121288161.0,0.0,0.103
2121295561.0,0.0,0.103
2121302961.0,0.0,0.103
2121310361.0,0.0,0.103
2121317763.0,0.0,0.103
2121325161.0,0.0,0.103
2121332564.0,0.0,0.103
2121339963.0,0.0,0.103
2121347360.0,0.0,0.103
2121354763.0,0.0,0.103
2121362160.0,0.0,0.103
2121369563.0,0.0,0.103
2121376961.0,0.0,0.103
2121384360.0,0.0,0.103
2121391762.0,0.0,0.106
2121399161.0,0.0,0.103
2121406564.0,0.0,0.106
2121413961.0,0.0,0.103
2121421361.0,0.0,0.106
2121428763.0,0.0,0.103
2121436160.0,0.0,0.106
2121443564.0,0.0,0.103
2121450961.0,0.0,0.106
2121458360.0,0.0,0.103
2121465764.0,0.0,0.103
2121473160.0,0.0,0.103
2121480561.0,0.0,0.106
2121487963.0,0.0,0.106
2121495360.0,0.0,0.103
2121502762.0,0.0,0.103
2121510161.0,0.0,0.103
2121517564.0,0.0,0.099
2121524961.0,0.0,0.106
2121532360.0,0.0,0.103
2121539762.0,0.0,0.099
2121547161.0,0.0,0.103
2121554561.0,0.0,0.106
2121561961.0,0.0,0.103
2121569361.0,0.0,0.106
2121576761.0,0.0,0.106
2121584160.0,0.0,0.106
2121591561.0,0.0,0.103
2121598962.0,0.0,0.103
2121606361.0,0.0,0.103
2121613763.0,0.0,0.106
