#Data from 2015-10-22 at 13:17:59
Timestamp,PMT
1222334753,0.006
1222334853,0.003
1222334953,0.003
1222335053,0.006
1222335153,0.003
1222335253,0.003
1222335353,0.003
1222335453,0.003
1222335553,0.003
1222335653,0.022
1222335753,0.003
1222335853,0.003
1222335953,0.003
1222336053,0.012
1222336153,0.003
1222336253,0.003
1222336353,0.003
1222336453,0.003
1222336553,0.009
1222336653,0.003
1222336753,0.003
1222336853,0.006
1222336953,0.012
1222337053,0.003
1222337153,0.003
1222337253,0.003
1222337353,0.003
1222337453,0.003
1222337553,0.003
1222337653,0.006
1222337753,0.003
1222337853,0.006
1222337953,0.006
1222338053,0.003
1222338153,0.003
1222338253,0.006
1222338353,0.003
1222338453,0.003
1222338553,0.006
1222338653,0.003
1222338753,0.003
1222338853,0.003
1222338953,0.006
1222339053,0.003
1222339153,0.003
1222339253,0.003
1222339353,0.003
1222339453,0.006
1222339553,0.003
1222339653,0.003
1222339753,0.003
1222339853,0.003
1222339953,0.022
1222340053,0.003
1222340153,0.003
1222340253,0.009
1222340353,0.003
1222340453,0.003
1222340553,0.003
1222340653,0.006
1222340753,0.003
1222340853,0.003
1222340953,0.003
1222341053,0.003
1222341153,0.003
1222341253,0.003
1222341353,0.003
1222341453,0.003
1222341553,0.003
1222341653,0.003
1222341753,0.003
1222341853,0.003
1222341953,0.006
1222342053,0.003
1222342153,0.003
1222342253,0.003
1222342353,0.003
1222342453,0.003
1222342553,0.006
1222342653,0.006
1222342753,0.003
1222342853,0.003
1222342953,0.006
1222343053,0.003
1222343153,0.003
1222343253,0.003
1222343353,0.003
1222343453,0.003
1222343553,0.003
1222343653,0.003
1222343753,0.006
1222343853,0.003
1222343953,0.003
1222344053,0.006
1222344153,0.003
1222344253,0.003
1222344353,0.003
1222344453,0.003
1222344553,0.009
1222344653,0.003
1222344753,0.003
1222344853,0.003
1222344953,0.006
1222345053,0.012
1222345153,0.003
1222345253,0.003
1222345353,0.003
1222345453,0.006
1222345553,0.003
1222345653,0.003
1222345753,0.003
1222345853,0.003
1222345953,0.006
1222346053,0.003
1222346153,0.003
1222346253,0.003
1222346353,0.003
