S130C	2015-10-20 07:46:30
value unit [W]	time unit [ms]
wavelength	532.000nm
range	AUTO
8.238483E-06	40
7.904884E-06	339
7.671832E-06	640
7.456650E-06	939
7.256574E-06	1240
7.068492E-06	1539
6.890770E-06	1840
6.724180E-06	2139
6.567199E-06	2440
6.416788E-06	2739
6.270931E-06	3040
6.127748E-06	3339
5.997316E-06	3640
5.932677E-06	3939
5.887670E-06	4240
5.849877E-06	4539
5.816668E-06	4840
5.781548E-06	5139
5.742066E-06	5440
5.699232E-06	5739
5.650787E-06	6040
5.591548E-06	6339
5.516836E-06	6640
5.434976E-06	6941
5.367165E-06	7241
5.328515E-06	7541
5.313917E-06	7841
5.310452E-06	8141
5.310367E-06	8441
5.312096E-06	8741
5.313202E-06	9041
5.312822E-06	9341
5.308474E-06	9641
5.302384E-06	9941
5.295878E-06	10241
5.288996E-06	10541
5.283277E-06	10841
5.277214E-06	11141
5.271861E-06	11441
5.266379E-06	11741
5.261545E-06	12041
5.257118E-06	12341
5.252751E-06	12641
5.248984E-06	12941
5.244554E-06	13241
5.239569E-06	13541
5.234432E-06	13841
5.228467E-06	14141
5.221327E-06	14441
5.214114E-06	14742
5.205903E-06	15042
5.197456E-06	15342
5.188346E-06	15642
5.178873E-06	15942
5.167628E-06	16242
5.153607E-06	16542
5.136641E-06	16842
5.117136E-06	17142
5.095215E-06	17442
5.071130E-06	17742
5.045979E-06	18042
5.019320E-06	18342
4.991018E-06	18642
4.964726E-06	18942
5.072537E-06	19242
5.241768E-06	19542
5.411261E-06	19842
5.576410E-06	20142
5.735830E-06	20442
5.887431E-06	20742
6.055212E-06	21042
6.256392E-06	21342
6.457637E-06	21642
6.652787E-06	21942
6.842934E-06	22242
7.027510E-06	22543
7.209780E-06	22844
7.386226E-06	23143
7.558600E-06	23444
7.724723E-06	23743
7.888018E-06	24044
8.045034E-06	24343
8.201689E-06	24644
8.354805E-06	24943
8.504958E-06	25244
8.652695E-06	25543
8.800806E-06	25844
8.944660E-06	26143
9.086455E-06	26444
9.227262E-06	26743
9.365494E-06	27044
9.504052E-06	27343
9.643370E-06	27644
9.777383E-06	27943
9.911613E-06	28244
1.004396E-05	28543
1.017779E-05	28844
1.030619E-05	29143
1.043559E-05	29444
1.056520E-05	29743
1.069047E-05	30045
1.081632E-05	30345
1.094176E-05	30645
1.107259E-05	30945
1.119913E-05	31245
1.132717E-05	31552
1.145054E-05	31853
1.156906E-05	32153
1.168954E-05	32453
1.180766E-05	32753
1.192549E-05	33053
1.203688E-05	33353
1.214635E-05	33653
1.225273E-05	33953
1.235874E-05	34253
1.246308E-05	34553
1.255851E-05	34853
1.265636E-05	35153
1.275292E-05	35453
1.284551E-05	35753
1.293260E-05	36053
1.301681E-05	36353
1.310137E-05	36653
1.318212E-05	36953
1.325742E-05	37253
1.332899E-05	37553
1.340238E-05	37854
1.347131E-05	38154
1.354175E-05	38454
1.360567E-05	38754
1.366723E-05	39054
1.372953E-05	39354
1.378758E-05	39654
1.384014E-05	39954
1.389090E-05	40254
1.394022E-05	40554
1.398660E-05	40854
1.403237E-05	41154
1.407089E-05	41454
1.411313E-05	41754
1.415608E-05	42054
1.419542E-05	42354
1.423317E-05	42654
1.426884E-05	42954
1.430783E-05	43254
1.434151E-05	43554
1.437543E-05	43854
1.440522E-05	44154
1.443738E-05	44454
1.446515E-05	44754
1.449340E-05	45054
1.451886E-05	45355
1.454144E-05	45655
1.456460E-05	45955
1.458383E-05	46255
1.460087E-05	46555
1.461914E-05	46855
1.463879E-05	47155
1.465596E-05	47455
1.467411E-05	47755
1.468907E-05	48055
1.470802E-05	48355
1.472865E-05	48655
1.473828E-05	48955
1.475558E-05	49255
1.477095E-05	49555
1.478141E-05	49855
1.479901E-05	50155
1.481427E-05	50455
1.482892E-05	50755
1.483858E-05	51055
1.484829E-05	51355
1.486166E-05	51655
1.486875E-05	51955
1.488230E-05	52255
1.488768E-05	52555
1.489894E-05	52855
1.490798E-05	53156
1.491481E-05	53457
1.492227E-05	53756
1.492410E-05	54057
1.492669E-05	54356
1.493436E-05	54657
1.493852E-05	54956
1.493967E-05	55257
1.494243E-05	55556
1.494902E-05	55857
1.495685E-05	56156
1.495596E-05	56457
1.495732E-05	56756
1.495692E-05	57057
1.495832E-05	57356
1.496151E-05	57657
1.496260E-05	57956
1.496501E-05	58257
1.496124E-05	58556
1.495972E-05	58857
1.496063E-05	59156
1.495694E-05	59457
1.495416E-05	59756
1.495385E-05	60057
1.495272E-05	60356
1.494919E-05	60657
1.494829E-05	60958
1.494022E-05	61258
1.494068E-05	61558
1.493774E-05	61858
1.493606E-05	62158
1.493774E-05	62464
1.493296E-05	62763
1.493215E-05	63064
1.493231E-05	63363
1.493041E-05	63664
1.492884E-05	63963
1.492830E-05	64264
1.492576E-05	64563
1.492362E-05	64864
1.492262E-05	65163
1.492351E-05	65464
1.492353E-05	65763
1.492599E-05	66064
1.492560E-05	66363
1.491968E-05	66664
1.492175E-05	66963
1.491981E-05	67264
1.491619E-05	67563
1.491242E-05	67864
1.491303E-05	68163
1.491123E-05	68465
1.491068E-05	68764
1.490655E-05	69065
1.490580E-05	69364
1.490262E-05	69665
1.490166E-05	69964
1.489959E-05	70265
1.489938E-05	70564
1.489495E-05	70865
1.489245E-05	71164
1.488745E-05	71465
1.488813E-05	71764
1.488204E-05	72065
1.488137E-05	72364
1.487694E-05	72665
1.487606E-05	72964
1.487400E-05	73265
1.486617E-05	73564
1.486397E-05	73865
1.485864E-05	74164
1.485220E-05	74465
1.484237E-05	74764
1.483945E-05	75065
1.483375E-05	75364
1.482672E-05	75665
1.482354E-05	75964
1.482146E-05	76266
1.481701E-05	76565
1.481133E-05	76866
1.480644E-05	77165
1.479950E-05	77466
1.479517E-05	77765
1.478550E-05	78066
1.477875E-05	78365
1.477620E-05	78666
1.477047E-05	78965
1.476475E-05	79266
1.475741E-05	79565
1.474657E-05	79866
1.473715E-05	80165
1.472926E-05	80466
1.471647E-05	80765
1.470836E-05	81066
1.470129E-05	81365
1.469664E-05	81666
1.469118E-05	81965
1.468753E-05	82266
1.468198E-05	82565
1.467770E-05	82866
1.467129E-05	83165
1.466995E-05	83466
1.466680E-05	83767
1.466542E-05	84067
1.465756E-05	84367
1.465110E-05	84667
1.464884E-05	84967
1.464679E-05	85267
1.464216E-05	85567
1.463585E-05	85867
1.462980E-05	86167
1.462740E-05	86467
1.462248E-05	86767
1.461651E-05	87067
1.461505E-05	87367
1.461048E-05	87667
1.460766E-05	87967
1.460703E-05	88267
1.459989E-05	88567
1.459831E-05	88867
1.459282E-05	89167
1.459116E-05	89467
1.458407E-05	89767
1.458221E-05	90067
1.457660E-05	90367
1.456592E-05	90667
1.455850E-05	90967
1.455198E-05	91267
1.455240E-05	91568
1.454979E-05	91868
1.454325E-05	92168
1.453818E-05	92468
1.453794E-05	92768
1.453303E-05	93068
1.452836E-05	93374
1.452381E-05	93674
1.451583E-05	93974
1.451478E-05	94274
1.450678E-05	94574
1.450344E-05	94874
1.449678E-05	95174
1.449040E-05	95474
1.448643E-05	95774
1.448147E-05	96074
1.447502E-05	96374
1.446626E-05	96674
1.445801E-05	96974
1.445077E-05	97274
1.444751E-05	97574
1.444157E-05	97874
1.444037E-05	98174
1.443355E-05	98474
1.443038E-05	98774
1.442574E-05	99074
1.442300E-05	99375
1.442094E-05	99676
1.441542E-05	99975
1.441100E-05	100276
1.440732E-05	100575
1.440693E-05	100876
1.440066E-05	101175
1.439668E-05	101476
1.439306E-05	101775
1.438862E-05	102076
1.438758E-05	102375
1.438292E-05	102676
1.438002E-05	102975
1.437371E-05	103276
1.437388E-05	103575
1.437243E-05	103876
1.436803E-05	104175
1.436698E-05	104476
1.436756E-05	104775
1.435844E-05	105076
1.435349E-05	105375
