S130C	2015-10-20 07:40:01
value unit [W]	time unit [ms]
wavelength	532.000nm
range	AUTO
2.441054E-04	259
2.450675E-04	559
2.460240E-04	859
2.469660E-04	1159
2.480400E-04	1459
2.496795E-04	1759
2.515052E-04	2059
2.537955E-04	2359
2.569477E-04	2659
2.602451E-04	2959
2.626753E-04	3259
2.634506E-04	3559
2.613236E-04	3859
2.611561E-04	4159
2.603242E-04	4459
2.625363E-04	4759
2.672985E-04	5059
2.718100E-04	5359
2.765493E-04	5659
2.816284E-04	5959
2.869137E-04	6259
2.922807E-04	6559
2.977055E-04	6859
3.032390E-04	7160
3.087802E-04	7460
3.143749E-04	7760
3.202376E-04	8060
3.267781E-04	8360
3.343942E-04	8660
3.429701E-04	8960
3.515280E-04	9260
3.594198E-04	9560
3.668987E-04	9860
3.743986E-04	10160
3.819503E-04	10460
3.899895E-04	10760
3.989221E-04	11060
4.080630E-04	11360
4.166477E-04	11660
4.244143E-04	11960
4.313773E-04	12260
4.379106E-04	12560
4.443096E-04	12860
4.507424E-04	13160
4.574345E-04	13460
4.644266E-04	13760
4.716440E-04	14060
4.789869E-04	14360
4.863913E-04	14660
4.937592E-04	14961
5.010017E-04	15261
5.079873E-04	15561
5.147238E-04	15861
5.210619E-04	16161
5.244666E-04	16461
4.454908E-04	16761
4.502567E-04	17061
4.559727E-04	17361
4.616034E-04	17661
4.670270E-04	17961
4.722773E-04	18261
4.773404E-04	18561
4.820675E-04	18861
4.865286E-04	19161
4.907968E-04	19461
4.947417E-04	19761
4.965951E-04	20061
4.959088E-04	20361
4.949411E-04	20661
4.937568E-04	20961
4.924323E-04	21261
4.910404E-04	21561
4.895551E-04	21861
4.880381E-04	22161
4.865023E-04	22461
4.848270E-04	22762
4.831783E-04	23062
4.815073E-04	23362
4.799009E-04	23662
4.782439E-04	23962
4.766063E-04	24262
4.749240E-04	24562
4.732248E-04	24862
4.714023E-04	25162
4.695351E-04	25462
4.675511E-04	25762
4.654515E-04	26062
4.634852E-04	26362
4.620976E-04	26662
4.820994E-04	26962
4.814047E-04	27262
4.776888E-04	27562
4.735954E-04	27862
4.693125E-04	28162
4.648636E-04	28462
4.605007E-04	28762
4.561050E-04	29062
4.517725E-04	29362
4.473642E-04	29662
4.431928E-04	29962
4.389661E-04	30264
4.349005E-04	30564
4.309862E-04	30864
4.272162E-04	31164
4.235100E-04	31464
4.198525E-04	31771
4.164921E-04	32073
4.131862E-04	32372
4.098317E-04	32673
4.067283E-04	32972
4.037286E-04	33273
4.010253E-04	33572
3.984657E-04	33873
3.961525E-04	34172
3.937965E-04	34473
3.915631E-04	34772
3.893196E-04	35073
3.871777E-04	35372
3.850511E-04	35673
3.830828E-04	35972
3.809525E-04	36273
3.789932E-04	36572
3.769982E-04	36873
3.751214E-04	37172
3.732370E-04	37473
3.713974E-04	37772
3.696256E-04	38074
3.678007E-04	38374
3.660248E-04	38674
3.643299E-04	38974
3.626879E-04	39274
3.610330E-04	39574
3.593948E-04	39874
3.578022E-04	40174
3.562155E-04	40474
3.547021E-04	40774
3.531617E-04	41074
3.517021E-04	41374
3.501952E-04	41674
3.487396E-04	41974
3.472992E-04	42274
3.459074E-04	42574
3.445072E-04	42874
3.430368E-04	43174
3.416356E-04	43474
3.402161E-04	43774
3.388255E-04	44074
3.375181E-04	44374
3.361265E-04	44674
3.348162E-04	44974
3.335438E-04	45274
3.323627E-04	45575
3.311895E-04	45875
3.300498E-04	46175
3.289535E-04	46475
3.278753E-04	46775
3.268805E-04	47075
3.258830E-04	47375
3.249149E-04	47675
3.239948E-04	47975
3.230843E-04	48275
3.222835E-04	48575
3.215237E-04	48875
3.208468E-04	49175
3.201540E-04	49475
3.195044E-04	49775
3.188955E-04	50075
3.183394E-04	50375
3.178071E-04	50675
3.172884E-04	50975
3.168026E-04	51275
3.164033E-04	51575
3.159315E-04	51875
3.154861E-04	52175
3.151418E-04	52475
3.147638E-04	52775
3.144339E-04	53075
3.140886E-04	53376
3.138087E-04	53676
3.134878E-04	53976
3.132144E-04	54276
3.129412E-04	54576
3.127083E-04	54876
3.125060E-04	55176
3.122423E-04	55476
3.120421E-04	55776
3.118389E-04	56076
3.116020E-04	56376
3.113914E-04	56676
3.112141E-04	56976
3.110402E-04	57276
3.108925E-04	57576
3.107302E-04	57876
3.105345E-04	58176
3.103781E-04	58476
3.102155E-04	58776
3.100768E-04	59076
3.099542E-04	59376
3.098112E-04	59676
3.096843E-04	59976
3.095574E-04	60276
3.094508E-04	60576
3.093491E-04	60876
3.092526E-04	61177
3.091481E-04	61477
3.090498E-04	61777
3.089582E-04	62077
3.088678E-04	62377
3.087649E-04	62683
3.086845E-04	62982
3.086167E-04	63283
3.085613E-04	63582
3.084604E-04	63883
3.084038E-04	64182
3.083432E-04	64483
3.083223E-04	64782
3.082792E-04	65083
3.082434E-04	65382
3.082173E-04	65683
3.081840E-04	65982
3.081159E-04	66283
3.080682E-04	66582
3.080577E-04	66883
3.080560E-04	67182
3.080538E-04	67483
3.080128E-04	67782
3.079754E-04	68083
3.079650E-04	68382
3.079397E-04	68684
3.079455E-04	68983
3.079121E-04	69284
3.079024E-04	69583
3.079007E-04	69884
3.078968E-04	70183
3.079227E-04	70484
3.079149E-04	70783
3.079062E-04	71084
3.079227E-04	71383
3.079153E-04	71684
3.079391E-04	71983
3.079362E-04	72284
3.079302E-04	72583
3.079443E-04	72884
3.079739E-04	73183
3.079826E-04	73484
3.080149E-04	73783
3.080186E-04	74084
3.080613E-04	74383
3.080882E-04	74684
3.081230E-04	74983
3.081398E-04	75284
3.081579E-04	75583
3.082030E-04	75884
3.082471E-04	76183
3.082889E-04	76485
3.083487E-04	76785
3.084016E-04	77085
3.084191E-04	77385
3.084511E-04	77685
3.084714E-04	77985
3.085179E-04	78285
3.085247E-04	78585
3.085507E-04	78885
3.085802E-04	79185
3.085850E-04	79485
3.086231E-04	79785
3.086622E-04	80085
3.087196E-04	80385
3.087714E-04	80685
3.087895E-04	80985
3.088490E-04	81285
3.088991E-04	81585
3.089616E-04	81885
3.090271E-04	82185
3.090583E-04	82485
3.091332E-04	82785
3.091960E-04	83085
3.092304E-04	83385
3.092856E-04	83685
3.093261E-04	83986
3.093776E-04	84286
3.094431E-04	84586
3.094753E-04	84886
3.095751E-04	85186
3.096329E-04	85486
3.097104E-04	85786
3.097744E-04	86086
3.098098E-04	86386
3.098641E-04	86686
3.099233E-04	86986
3.099921E-04	87286
3.100306E-04	87586
3.100386E-04	87886
3.100823E-04	88186
3.101072E-04	88486
3.101348E-04	88786
3.101545E-04	89086
3.101997E-04	89386
3.102293E-04	89686
3.102576E-04	89986
3.102879E-04	90286
3.103139E-04	90586
3.103516E-04	90886
3.103776E-04	91186
3.104116E-04	91486
3.104329E-04	91787
3.104745E-04	92087
3.105070E-04	92387
3.105536E-04	92687
3.105460E-04	92987
3.106006E-04	93287
3.106271E-04	93593
3.106396E-04	93893
3.107023E-04	94193
3.107229E-04	94493
3.107557E-04	94793
3.108038E-04	95093
3.108499E-04	95393
3.108896E-04	95693
3.109314E-04	95993
3.109642E-04	96293
3.109932E-04	96593
3.110389E-04	96893
3.110745E-04	97193
3.111302E-04	97493
3.111495E-04	97793
3.112048E-04	98093
3.112360E-04	98393
3.112914E-04	98693
3.113238E-04	98993
3.113447E-04	99293
3.113862E-04	99594
3.114215E-04	99894
3.114336E-04	100194
3.114739E-04	100494
3.115341E-04	100794
3.115583E-04	101094
3.115874E-04	101394
3.116286E-04	101694
3.116642E-04	101994
3.117081E-04	102294
3.117454E-04	102594
3.117681E-04	102894
3.118162E-04	103194
3.118465E-04	103494
3.118841E-04	103794
3.119002E-04	104094
3.119527E-04	104394
3.120092E-04	104694
3.120296E-04	104994
3.120576E-04	105294
3.121090E-04	105594
