S130C	2015-10-20 08:00:30
value unit [W]	time unit [ms]
wavelength	532.000nm
range	AUTO
3.203588E-03	86074
3.203678E-03	86374
3.203899E-03	86675
3.204001E-03	86974
3.204245E-03	87274
3.204386E-03	87574
3.204554E-03	87874
3.204769E-03	88174
3.204969E-03	88474
3.205131E-03	88774
3.205271E-03	89074
3.205405E-03	89374
3.205613E-03	89675
3.205947E-03	89974
3.206057E-03	90274
3.206254E-03	90574
3.206374E-03	90874
3.206511E-03	91174
3.206694E-03	91474
3.206824E-03	91775
3.207018E-03	92075
3.207170E-03	92375
3.207351E-03	92675
3.207438E-03	92975
3.207607E-03	93275
3.207718E-03	93581
3.207923E-03	93881
3.208061E-03	94181
3.208173E-03	94481
3.208347E-03	94781
3.208564E-03	95081
3.208598E-03	95381
3.208800E-03	95681
3.208907E-03	95981
3.209122E-03	96281
3.209155E-03	96581
3.209278E-03	96881
3.209437E-03	97181
3.209549E-03	97481
3.209667E-03	97781
3.209862E-03	98081
3.210010E-03	98381
3.210060E-03	98681
3.210207E-03	98981
3.210320E-03	99281
3.210444E-03	99582
3.210566E-03	99882
3.210626E-03	100182
3.210768E-03	100482
3.210922E-03	100782
3.211052E-03	101082
3.211147E-03	101382
3.211214E-03	101682
3.211317E-03	101982
3.211422E-03	102282
3.211566E-03	102582
3.211651E-03	102882
3.211682E-03	103182
3.211838E-03	103482
3.211916E-03	103782
3.212002E-03	104082
3.212103E-03	104382
3.212133E-03	104682
3.212206E-03	104982
3.212339E-03	105282
3.212420E-03	105582
3.212447E-03	105882
3.212536E-03	106182
3.212593E-03	106482
3.212696E-03	106783
3.212846E-03	107083
3.212831E-03	107383
3.212921E-03	107683
3.212959E-03	107983
3.213093E-03	108283
3.213128E-03	108583
3.213177E-03	108883
3.213246E-03	109183
3.213381E-03	109483
3.213439E-03	109783
3.213460E-03	110083
3.213528E-03	110383
3.213533E-03	110683
3.213657E-03	110983
3.213716E-03	111283
3.213693E-03	111583
3.213764E-03	111883
3.213849E-03	112183
3.213857E-03	112483
3.213910E-03	112783
3.213986E-03	113083
3.213928E-03	113383
3.214013E-03	113683
3.214014E-03	113984
3.214040E-03	114284
3.214128E-03	114584
3.214146E-03	114884
3.214058E-03	115184
3.214157E-03	115484
3.214238E-03	115784
3.214265E-03	116084
3.214308E-03	116384
3.214405E-03	116684
3.214397E-03	116984
3.214409E-03	117284
3.214361E-03	117584
3.214434E-03	117884
3.214517E-03	118184
3.214493E-03	118484
3.214526E-03	118784
3.214537E-03	119084
3.214571E-03	119384
3.214607E-03	119684
3.214659E-03	119984
3.214712E-03	120284
3.214749E-03	120584
3.214845E-03	120884
3.214802E-03	121184
3.214799E-03	121485
3.214953E-03	121785
3.214944E-03	122085
3.214939E-03	122385
3.214926E-03	122685
3.215018E-03	122985
3.215054E-03	123291
3.215080E-03	123591
3.215110E-03	123891
3.215147E-03	124191
3.215209E-03	124491
3.215296E-03	124791
3.215326E-03	125091
3.215362E-03	125391
3.215423E-03	125691
3.215404E-03	125991
3.215447E-03	126291
3.215459E-03	126591
3.215450E-03	126891
3.215471E-03	127191
3.215598E-03	127491
3.215603E-03	127791
3.215732E-03	128091
3.215772E-03	128391
3.215820E-03	128692
3.215820E-03	128992
3.215878E-03	129292
3.215998E-03	129592
3.215982E-03	129892
3.215925E-03	130192
3.216086E-03	130492
3.216090E-03	130792
3.216122E-03	131092
3.216180E-03	131392
3.216148E-03	131692
3.216255E-03	131992
3.216357E-03	132292
3.216343E-03	132592
3.216387E-03	132892
3.216421E-03	133192
3.216505E-03	133492
3.216509E-03	133792
3.216529E-03	134092
3.216617E-03	134392
3.216664E-03	134692
3.216707E-03	134992
3.216639E-03	135292
3.216713E-03	135592
3.216748E-03	135892
3.216757E-03	136193
3.216849E-03	136493
3.216918E-03	136793
3.216896E-03	137093
3.216917E-03	137393
3.216994E-03	137693
3.217031E-03	137993
3.217072E-03	138293
3.217063E-03	138593
3.217062E-03	138893
3.217133E-03	139193
3.217100E-03	139493
3.217194E-03	139793
3.217199E-03	140093
3.217185E-03	140393
3.217260E-03	140693
3.217218E-03	140993
3.217234E-03	141293
3.217301E-03	141593
3.217339E-03	141893
3.217393E-03	142193
3.217362E-03	142493
3.217403E-03	142793
3.217428E-03	143093
3.217529E-03	143394
3.217563E-03	143694
3.217662E-03	143994
3.217722E-03	144294
3.217714E-03	144594
3.217675E-03	144894
3.217720E-03	145194
3.217803E-03	145494
3.217879E-03	145794
3.217832E-03	146094
3.217838E-03	146394
3.217861E-03	146694
3.217868E-03	146994
3.217867E-03	147294
3.217843E-03	147594
3.217899E-03	147894
3.217929E-03	148194
3.218043E-03	148494
3.217962E-03	148794
3.218083E-03	149094
3.218170E-03	149394
3.218124E-03	149694
3.218065E-03	149994
3.218093E-03	150294
3.218178E-03	150595
3.218170E-03	150895
3.218106E-03	151195
3.218149E-03	151495
3.218157E-03	151795
3.218212E-03	152095
3.218235E-03	152395
3.218257E-03	152702
3.218189E-03	153001
3.218264E-03	153302
3.218253E-03	153601
3.218360E-03	153902
3.218328E-03	154201
3.218422E-03	154502
3.218401E-03	154801
3.218422E-03	155102
3.218352E-03	155401
3.218428E-03	155702
3.218456E-03	156001
3.218470E-03	156302
3.218486E-03	156601
3.218435E-03	156902
3.218488E-03	157201
3.218476E-03	157502
3.218504E-03	157801
3.218552E-03	158103
3.218500E-03	158402
3.218653E-03	158703
3.218611E-03	159002
3.218693E-03	159303
3.218637E-03	159602
3.218765E-03	159903
3.218742E-03	160202
3.218730E-03	160503
3.218814E-03	160802
3.218815E-03	161103
3.218818E-03	161402
3.218827E-03	161703
3.218864E-03	162002
3.218900E-03	162303
3.218848E-03	162602
3.218861E-03	162903
3.218930E-03	163202
3.219016E-03	163503
3.219039E-03	163802
3.219090E-03	164103
3.219108E-03	164402
3.219136E-03	164703
3.219152E-03	165002
3.219179E-03	165304
3.219195E-03	165604
3.219227E-03	165904
3.219295E-03	166204
3.219289E-03	166504
3.219323E-03	166804
3.219377E-03	167104
3.219476E-03	167404
3.219503E-03	167704
3.219464E-03	168004
3.219474E-03	168304
3.219545E-03	168604
3.219518E-03	168904
3.219523E-03	169204
3.219575E-03	169504
3.219618E-03	169804
3.219551E-03	170104
3.219634E-03	170404
3.219673E-03	170704
3.219694E-03	171004
3.219745E-03	171304
3.219688E-03	171604
3.219772E-03	171904
3.219713E-03	172204
3.219919E-03	172505
3.219826E-03	172805
3.219861E-03	173105
3.219846E-03	173405
3.219892E-03	173705
3.219885E-03	174005
3.219943E-03	174305
3.219974E-03	174605
3.220044E-03	174905
3.220020E-03	175205
3.220054E-03	175505
3.220030E-03	175805
3.220138E-03	176105
3.220175E-03	176405
3.220199E-03	176705
3.220166E-03	177005
3.220158E-03	177305
3.220201E-03	177605
3.220231E-03	177905
3.220279E-03	178205
3.220343E-03	178505
3.220319E-03	178805
3.220259E-03	179105
3.220391E-03	179405
3.220293E-03	179705
3.220337E-03	180006
3.220399E-03	180306
3.220394E-03	180606
3.220409E-03	180906
3.220364E-03	181206
3.220432E-03	181506
3.220469E-03	181806
3.220451E-03	182112
3.220462E-03	182412
3.220522E-03	182712
3.220522E-03	183012
3.220519E-03	183312
3.220578E-03	183612
3.220561E-03	183912
3.220569E-03	184212
3.220620E-03	184512
3.220657E-03	184812
3.220609E-03	185112
3.220635E-03	185412
3.220598E-03	185712
3.220662E-03	186012
3.220645E-03	186312
3.220689E-03	186612
3.220731E-03	186912
3.220714E-03	187213
3.220767E-03	187513
3.220817E-03	187813
3.220797E-03	188113
3.220851E-03	188413
3.220855E-03	188713
3.220983E-03	189013
3.220883E-03	189313
3.220976E-03	189613
3.220889E-03	189913
3.220935E-03	190213
3.220987E-03	190513
3.221036E-03	190813
3.221040E-03	191113
3.221043E-03	191413
3.221048E-03	191713
3.221045E-03	192013
3.221089E-03	192313
3.220913E-03	192613
3.221072E-03	192913
3.221049E-03	193213
3.221093E-03	193513
3.221169E-03	193813
