S130C	2015-10-20 07:54:25
value unit [W]	time unit [ms]
wavelength	532.000nm
range	AUTO
6.053699E-07	159
6.071819E-07	459
6.086942E-07	759
6.101237E-07	1059
6.113856E-07	1359
6.123822E-07	1659
6.133184E-07	1959
6.154341E-07	2259
6.174014E-07	2559
6.184221E-07	2859
6.183475E-07	3159
6.174891E-07	3459
6.156070E-07	3759
6.129005E-07	4059
6.097303E-07	4359
6.097455E-07	4659
6.102665E-07	4959
6.107759E-07	5259
6.111105E-07	5559
6.103008E-07	5859
6.092889E-07	6159
6.054158E-07	6459
5.951748E-07	6759
5.709547E-07	7060
5.441119E-07	7360
5.279561E-07	7660
5.199641E-07	7960
5.161821E-07	8260
5.144019E-07	8560
5.137715E-07	8860
5.135489E-07	9160
5.141556E-07	9460
5.145394E-07	9760
5.152604E-07	10060
5.159445E-07	10360
5.172130E-07	10660
5.184423E-07	10960
5.197980E-07	11260
5.215258E-07	11560
5.231243E-07	11860
5.247125E-07	12160
5.264335E-07	12460
5.282753E-07	12760
5.302308E-07	13060
5.317009E-07	13360
5.334659E-07	13660
5.351757E-07	13960
5.366812E-07	14260
5.381312E-07	14560
5.394784E-07	14861
5.408613E-07	15161
5.418673E-07	15461
5.427761E-07	15761
5.437080E-07	16061
5.444257E-07	16361
5.452867E-07	16661
5.456687E-07	16961
5.461571E-07	17261
5.466489E-07	17561
5.471963E-07	17861
5.475064E-07	18161
5.479980E-07	18461
5.483488E-07	18761
5.488708E-07	19061
5.493603E-07	19361
5.498596E-07	19661
5.505210E-07	19961
5.513042E-07	20261
5.521450E-07	20561
5.527891E-07	20861
5.538062E-07	21161
5.546763E-07	21461
5.556351E-07	21761
5.563801E-07	22061
5.570158E-07	22361
5.576125E-07	22662
5.583458E-07	22962
5.585556E-07	23262
5.587229E-07	23562
5.586556E-07	23862
5.584051E-07	24162
5.578231E-07	24462
5.571687E-07	24762
5.564994E-07	25062
5.557426E-07	25362
5.551465E-07	25662
5.547352E-07	25962
5.542618E-07	26262
5.540077E-07	26562
5.537991E-07	26862
5.536340E-07	27162
5.535481E-07	27462
5.535341E-07	27762
5.536353E-07	28062
5.536162E-07	28362
5.537442E-07	28662
5.538478E-07	28962
5.539836E-07	29262
5.542354E-07	29562
5.546471E-07	29862
5.545039E-07	30164
5.547558E-07	30464
5.547170E-07	30764
5.550851E-07	31064
5.547248E-07	31364
5.549369E-07	31671
5.549684E-07	31972
5.551366E-07	32272
5.549875E-07	32572
5.549963E-07	32872
5.550421E-07	33172
5.549564E-07	33472
5.548864E-07	33772
5.547857E-07	34072
5.546402E-07	34372
5.546149E-07	34672
5.545585E-07	34972
5.545431E-07	35272
5.544008E-07	35572
5.543553E-07	35872
5.543033E-07	36172
5.542888E-07	36472
5.542969E-07	36772
5.542504E-07	37072
5.543811E-07	37372
5.543506E-07	37672
5.545238E-07	37973
5.546277E-07	38274
5.547735E-07	38573
5.549816E-07	38874
5.552718E-07	39173
5.555334E-07	39474
5.558855E-07	39773
5.558635E-07	40074
5.561247E-07	40373
5.564787E-07	40674
5.569501E-07	40973
5.572984E-07	41274
5.573722E-07	41573
5.579150E-07	41874
5.584697E-07	42173
5.588748E-07	42474
5.591097E-07	42773
5.594608E-07	43074
5.598525E-07	43373
5.602167E-07	43674
5.605668E-07	43973
5.615788E-07	44274
5.616288E-07	44573
5.618278E-07	44874
5.621498E-07	45173
5.626436E-07	45475
5.631228E-07	45774
5.635229E-07	46075
5.637146E-07	46374
5.641053E-07	46675
5.646073E-07	46974
5.649142E-07	47275
5.653739E-07	47574
5.654122E-07	47875
5.657764E-07	48174
5.659613E-07	48475
5.662347E-07	48774
5.665304E-07	49075
5.668077E-07	49374
5.671943E-07	49675
5.673924E-07	49974
5.676537E-07	50275
5.678999E-07	50574
5.682846E-07	50875
5.684593E-07	51174
5.686619E-07	51475
5.689521E-07	51774
5.691405E-07	52075
5.694113E-07	52374
5.695251E-07	52675
5.697273E-07	52974
5.698615E-07	53276
5.700567E-07	53575
5.702703E-07	53876
5.705221E-07	54175
5.706103E-07	54476
5.708037E-07	54775
5.709360E-07	55076
5.710655E-07	55375
5.712775E-07	55676
5.713945E-07	55975
5.716101E-07	56276
5.716868E-07	56575
5.718089E-07	56876
5.719598E-07	57175
5.720101E-07	57476
5.721938E-07	57775
5.722670E-07	58076
5.723592E-07	58375
5.723842E-07	58676
5.725151E-07	58975
5.726126E-07	59276
5.726286E-07	59575
5.726281E-07	59876
5.726928E-07	60175
5.727785E-07	60476
5.728644E-07	60775
5.728160E-07	61077
5.728577E-07	61376
5.728070E-07	61677
5.729943E-07	61976
5.730157E-07	62277
5.730640E-07	62582
5.729721E-07	62883
5.729611E-07	63182
5.730204E-07	63483
5.730359E-07	63782
5.730233E-07	64083
5.730448E-07	64382
5.730001E-07	64683
5.729311E-07	64982
5.729664E-07	65283
5.729861E-07	65582
5.729710E-07	65883
5.722604E-07	66182
5.730827E-07	66483
5.729707E-07	66782
5.729307E-07	67083
5.728755E-07	67382
5.727221E-07	67683
5.726740E-07	67982
5.727556E-07	68283
5.728000E-07	68584
5.725533E-07	68884
5.727550E-07	69184
5.726787E-07	69484
5.727065E-07	69784
5.726029E-07	70084
5.725908E-07	70384
5.724608E-07	70684
5.725203E-07	70984
5.725782E-07	71284
5.725382E-07	71584
5.724419E-07	71884
5.724588E-07	72184
5.724281E-07	72484
5.725194E-07	72784
5.724508E-07	73084
5.723600E-07	73384
5.723333E-07	73684
5.723426E-07	73984
5.723822E-07	74284
5.725491E-07	74584
5.724929E-07	74884
5.723416E-07	75184
5.722116E-07	75484
5.722497E-07	75784
5.722521E-07	76084
5.721719E-07	76385
5.722018E-07	76685
5.722032E-07	76985
5.722256E-07	77285
5.722980E-07	77585
5.722904E-07	77885
5.722527E-07	78185
5.723314E-07	78485
5.722952E-07	78785
5.722976E-07	79085
5.723332E-07	79385
5.722999E-07	79685
5.723508E-07	79985
5.723879E-07	80285
5.723265E-07	80585
5.723840E-07	80885
5.723942E-07	81185
5.724125E-07	81485
5.724532E-07	81785
5.724715E-07	82085
5.725130E-07	82385
5.724957E-07	82685
5.725537E-07	82985
5.724798E-07	83285
5.725924E-07	83585
5.726451E-07	83886
5.726049E-07	84186
5.726787E-07	84486
5.726885E-07	84786
5.726668E-07	85086
5.727518E-07	85386
5.728141E-07	85686
5.728493E-07	85986
5.728475E-07	86286
5.728656E-07	86586
5.729310E-07	86886
5.729588E-07	87186
5.731006E-07	87486
5.731523E-07	87786
5.731223E-07	88086
5.731702E-07	88386
5.732779E-07	88686
5.733344E-07	88986
5.734113E-07	89286
5.733276E-07	89586
5.734473E-07	89886
5.734992E-07	90186
5.735197E-07	90486
5.735325E-07	90786
5.735811E-07	91086
5.736685E-07	91386
5.736462E-07	91687
5.737203E-07	91987
5.738830E-07	92287
5.738029E-07	92587
5.738729E-07	92887
5.739220E-07	93187
5.739292E-07	93493
5.740013E-07	93793
5.740493E-07	94093
5.741799E-07	94393
5.742200E-07	94693
5.742245E-07	94993
5.743853E-07	95293
5.743763E-07	95593
5.744099E-07	95893
5.744687E-07	96193
5.745041E-07	96493
5.746650E-07	96793
5.746552E-07	97093
5.747235E-07	97393
5.746617E-07	97693
5.747014E-07	97993
5.748236E-07	98293
5.748562E-07	98593
5.749469E-07	98893
5.750781E-07	99193
5.750575E-07	99494
5.750961E-07	99794
5.751269E-07	100094
5.752476E-07	100394
5.752769E-07	100694
5.753816E-07	100994
5.753469E-07	101294
5.754515E-07	101594
5.754708E-07	101894
5.755780E-07	102194
5.756508E-07	102494
5.756944E-07	102794
5.757493E-07	103094
5.757657E-07	103394
5.758434E-07	103694
5.758606E-07	103994
5.759584E-07	104294
5.759957E-07	104594
5.761136E-07	104894
5.761408E-07	105194
5.762516E-07	105494
