S130C	2015-10-20 07:33:29
value unit [W]	time unit [ms]
wavelength	532.000nm
range	AUTO
2.546424E-03	220
2.545920E-03	520
2.545224E-03	820
2.544641E-03	1120
2.543968E-03	1420
2.543207E-03	1720
2.542849E-03	2020
2.542211E-03	2320
2.541432E-03	2620
2.540848E-03	2920
2.540513E-03	3220
2.539792E-03	3520
2.539329E-03	3820
2.538506E-03	4120
2.537997E-03	4420
2.537518E-03	4720
2.536834E-03	5020
2.536171E-03	5320
2.535811E-03	5620
2.535106E-03	5920
2.534492E-03	6220
2.533899E-03	6520
2.533161E-03	6820
2.532531E-03	7120
2.532033E-03	7420
2.531388E-03	7720
2.530974E-03	8020
2.530031E-03	8320
2.529373E-03	8620
2.528820E-03	8920
2.528203E-03	9220
2.527528E-03	9520
2.526885E-03	9820
2.526278E-03	10120
2.525770E-03	10420
2.524904E-03	10720
2.524136E-03	11020
2.523424E-03	11320
2.522815E-03	11620
2.522301E-03	11920
2.521534E-03	12220
2.520622E-03	12520
2.519996E-03	12820
2.519263E-03	13120
2.518451E-03	13420
2.517566E-03	13720
2.516850E-03	14020
2.516168E-03	14320
2.515301E-03	14620
2.514498E-03	14920
2.513745E-03	15220
2.512871E-03	15520
2.511941E-03	15820
2.511003E-03	16120
2.510304E-03	16420
2.509467E-03	16720
2.508706E-03	17020
2.507704E-03	17320
2.507001E-03	17620
2.506200E-03	17920
2.505347E-03	18220
2.504494E-03	18520
2.503581E-03	18820
2.502734E-03	19120
2.501937E-03	19420
2.500973E-03	19720
2.500160E-03	20020
2.499180E-03	20320
2.498385E-03	20620
2.497511E-03	20920
2.496690E-03	21220
2.495620E-03	21520
2.494812E-03	21820
2.493886E-03	22120
2.493126E-03	22420
2.492132E-03	22721
2.491281E-03	23021
2.490398E-03	23321
2.489405E-03	23621
2.488499E-03	23921
2.487617E-03	24221
2.486783E-03	24521
2.485954E-03	24821
2.485104E-03	25121
2.484177E-03	25421
2.483241E-03	25721
2.482374E-03	26021
2.481355E-03	26321
2.480561E-03	26621
2.479627E-03	26921
2.478796E-03	27221
2.477872E-03	27521
2.476886E-03	27821
2.476068E-03	28121
2.475105E-03	28421
2.474230E-03	28721
2.473467E-03	29021
2.472477E-03	29321
2.471800E-03	29621
2.470798E-03	29921
2.470001E-03	30223
2.469068E-03	30523
2.468319E-03	30823
2.467437E-03	31123
2.466740E-03	31423
2.465810E-03	31730
2.464973E-03	32032
2.464282E-03	32331
2.463416E-03	32632
2.462486E-03	32931
2.461410E-03	33232
2.460696E-03	33531
2.459974E-03	33832
2.459111E-03	34131
2.458322E-03	34432
2.457539E-03	34731
2.456683E-03	35032
2.455825E-03	35331
2.455095E-03	35632
2.454115E-03	35931
2.453580E-03	36232
2.452723E-03	36531
2.451983E-03	36832
2.451143E-03	37131
2.450476E-03	37432
2.449620E-03	37731
2.449086E-03	38033
2.448437E-03	38333
2.447749E-03	38633
2.446831E-03	38933
2.446131E-03	39233
2.445624E-03	39533
2.444822E-03	39833
2.444129E-03	40133
2.443471E-03	40433
2.442826E-03	40733
2.442061E-03	41033
2.441434E-03	41333
2.440822E-03	41633
2.440153E-03	41933
2.439488E-03	42233
2.438889E-03	42533
2.438221E-03	42833
2.437652E-03	43133
2.436868E-03	43433
2.436334E-03	43733
2.435766E-03	44033
2.435142E-03	44333
2.434555E-03	44633
2.433787E-03	44933
2.433241E-03	45233
2.432683E-03	45534
2.432146E-03	45834
2.431542E-03	46134
2.430958E-03	46434
2.430280E-03	46734
2.429644E-03	47034
2.429093E-03	47334
2.428551E-03	47634
2.427744E-03	47934
2.427297E-03	48234
2.426663E-03	48534
2.426316E-03	48834
2.425606E-03	49134
2.424980E-03	49434
2.424321E-03	49734
2.423784E-03	50034
2.423204E-03	50334
2.422734E-03	50634
2.421977E-03	50934
2.421509E-03	51234
2.420834E-03	51534
2.420260E-03	51834
2.419810E-03	52134
2.419242E-03	52434
2.418719E-03	52734
2.418198E-03	53034
2.417516E-03	53335
2.417091E-03	53636
2.416503E-03	53935
2.415953E-03	54236
2.415450E-03	54535
2.414835E-03	54836
2.414425E-03	55135
2.413741E-03	55436
2.413379E-03	55735
2.412896E-03	56036
2.412313E-03	56335
2.411886E-03	56636
2.411282E-03	56935
2.410919E-03	57236
2.410316E-03	57535
2.410024E-03	57836
2.409473E-03	58135
2.408945E-03	58436
2.408372E-03	58735
2.407875E-03	59036
2.407259E-03	59335
2.406862E-03	59636
2.406316E-03	59935
2.405838E-03	60236
2.405395E-03	60535
2.404845E-03	60836
2.404388E-03	61137
2.403916E-03	61437
2.403514E-03	61737
2.402818E-03	62037
2.402478E-03	62337
2.401976E-03	62643
2.401546E-03	62943
2.401072E-03	63243
2.400598E-03	63543
2.400100E-03	63843
2.399659E-03	64143
2.399118E-03	64443
2.398609E-03	64743
2.398205E-03	65043
2.398033E-03	65343
2.397611E-03	65643
2.397088E-03	65943
2.396718E-03	66243
2.396231E-03	66543
2.395889E-03	66843
2.395394E-03	67143
2.394902E-03	67443
2.394439E-03	67743
2.393940E-03	68043
2.393603E-03	68343
2.393167E-03	68644
2.392774E-03	68944
2.392247E-03	69244
2.391892E-03	69544
2.391510E-03	69844
2.391113E-03	70144
2.390653E-03	70444
2.390330E-03	70744
2.389785E-03	71044
2.389457E-03	71344
2.389085E-03	71644
2.388706E-03	71944
2.388408E-03	72244
2.387970E-03	72544
2.387568E-03	72844
2.387282E-03	73144
2.386718E-03	73444
2.386379E-03	73744
2.386038E-03	74044
2.385611E-03	74344
2.385176E-03	74644
2.384775E-03	74944
2.384516E-03	75244
2.384159E-03	75544
2.383745E-03	75844
2.383454E-03	76144
2.383101E-03	76445
2.382667E-03	76745
2.382356E-03	77045
2.381909E-03	77345
2.381495E-03	77645
2.381209E-03	77945
2.380871E-03	78245
2.380491E-03	78545
2.380165E-03	78845
2.379822E-03	79145
2.379571E-03	79445
2.379219E-03	79745
2.378999E-03	80045
2.378685E-03	80345
2.378018E-03	80645
2.377713E-03	80945
2.377360E-03	81245
2.377000E-03	81545
2.376780E-03	81845
2.376372E-03	82145
2.376075E-03	82445
2.375793E-03	82745
2.375440E-03	83045
2.375193E-03	83345
2.374869E-03	83645
2.374534E-03	83946
2.374175E-03	84247
2.373870E-03	84546
2.373624E-03	84847
2.373162E-03	85146
2.372910E-03	85447
2.372461E-03	85746
2.372255E-03	86047
2.371946E-03	86346
2.371550E-03	86647
2.371264E-03	86946
2.371024E-03	87247
2.370647E-03	87546
2.370420E-03	87847
2.370121E-03	88146
2.369786E-03	88447
2.369544E-03	88746
2.369207E-03	89047
2.368856E-03	89346
2.368594E-03	89647
2.368223E-03	89946
2.367997E-03	90247
2.367758E-03	90546
2.367452E-03	90847
2.366997E-03	91146
2.366810E-03	91447
2.366518E-03	91748
2.366196E-03	92048
2.365915E-03	92348
2.365783E-03	92648
2.365537E-03	92948
2.365187E-03	93248
2.364981E-03	93554
2.364595E-03	93854
2.364464E-03	94154
2.364161E-03	94454
2.363860E-03	94754
2.363605E-03	95054
2.363404E-03	95354
2.363060E-03	95654
2.362784E-03	95954
2.362569E-03	96254
2.362351E-03	96554
2.362132E-03	96854
2.361872E-03	97154
2.361533E-03	97454
2.361302E-03	97754
2.360963E-03	98054
2.360683E-03	98354
2.360483E-03	98654
2.360167E-03	98954
2.359901E-03	99254
2.359626E-03	99555
2.359309E-03	99856
2.359048E-03	100155
2.358790E-03	100456
2.358500E-03	100755
2.358319E-03	101056
2.358052E-03	101355
2.357824E-03	101656
2.357520E-03	101955
2.357308E-03	102256
2.357042E-03	102555
2.356793E-03	102856
2.356636E-03	103155
2.356446E-03	103456
2.356179E-03	103755
2.355782E-03	104056
2.355570E-03	104355
2.355452E-03	104656
2.355095E-03	104955
2.354850E-03	105256
2.354539E-03	105555
